critiqued_keyphrase,item_id,item_name,item_rank,item_score,iteration,num_existing_keyphrases,result,target_rank,user_id,critiqued_keyphrase_name,lambda
,78.0,b'The Works Gourmet Burger Bistro',,,0.0,87.0,,20.0,0.0,,
152,78.0,b'The Works Gourmet Burger Bistro',2318,0.09863225874153889,1.0,87.0,,20.0,0.0,fresh,[1]
151,78.0,b'The Works Gourmet Burger Bistro',2132,0.1160829577558421,2.0,87.0,,20.0,0.0,busy,"[1, 1]"
207,78.0,b'The Works Gourmet Burger Bistro',1713,0.17880490034300028,3.0,87.0,,20.0,0.0,stuffed,"[1, 1, 1]"
48,78.0,b'The Works Gourmet Burger Bistro',803,0.3766553878676911,4.0,87.0,,20.0,0.0,burger,"[1, 1, 1, 1]"
204,78.0,b'The Works Gourmet Burger Bistro',615,0.4535679315147617,5.0,87.0,,20.0,0.0,dip,"[1, 1, 1, 1, 1]"
25,78.0,b'The Works Gourmet Burger Bistro',308,1.5411942100416463,6.0,87.0,,20.0,0.0,vegetarian,"[1, 1, 1, 1, 1, 1]"
126,78.0,b'The Works Gourmet Burger Bistro',309,1.5746307335210692,7.0,87.0,,20.0,0.0,milk,"[1, 1, 1, 1, 1, 1, 1]"
79,78.0,b'The Works Gourmet Burger Bistro',248,1.8221032276152789,8.0,87.0,,20.0,0.0,apple,"[1, 1, 1, 1, 1, 1, 1, 1]"
198,78.0,b'The Works Gourmet Burger Bistro',210,2.019251416771881,9.0,87.0,,20.0,0.0,crunchy,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
87,78.0,b'The Works Gourmet Burger Bistro',206,2.037889106471818,10.0,87.0,,20.0,0.0,tart,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
41,78.0,b'The Works Gourmet Burger Bistro',215,2.0291809900182356,11.0,87.0,,20.0,0.0,beer,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
49,78.0,b'The Works Gourmet Burger Bistro',135,2.658481180684474,12.0,87.0,,20.0,0.0,cheese,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
206,78.0,b'The Works Gourmet Burger Bistro',99,2.9184724380344282,13.0,87.0,,20.0,0.0,salt,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
43,78.0,b'The Works Gourmet Burger Bistro',84,3.105195492106903,14.0,87.0,,20.0,0.0,cake,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
22,78.0,b'The Works Gourmet Burger Bistro',107,2.9352216027604725,15.0,87.0,,20.0,0.0,french,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
150,78.0,b'The Works Gourmet Burger Bistro',115,2.8721974432226745,16.0,87.0,,20.0,0.0,clean,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1,78.0,b'The Works Gourmet Burger Bistro',112,2.9551803838800916,17.0,87.0,,20.0,0.0,fast,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
208,78.0,b'The Works Gourmet Burger Bistro',123,2.8463513893574515,18.0,87.0,,20.0,0.0,topped,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
3,78.0,b'The Works Gourmet Burger Bistro',135,2.70981644124138,19.0,87.0,,20.0,0.0,bar,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
162,78.0,b'The Works Gourmet Burger Bistro',131,2.7832022204473175,20.0,87.0,fail,20.0,0.0,immediately,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
,623.0,b'El Rey Mezcal Bar',,,0.0,60.0,,20.0,0.0,immediately,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
123,623.0,b'El Rey Mezcal Bar',253,0.2524430071484201,1.0,60.0,,20.0,0.0,steak,[1]
16,623.0,b'El Rey Mezcal Bar',204,0.35830887225391245,2.0,60.0,,20.0,0.0,casual,"[1, 1]"
204,623.0,b'El Rey Mezcal Bar',147,0.5318172390774,3.0,60.0,,20.0,0.0,dip,"[1, 1, 1]"
122,623.0,b'El Rey Mezcal Bar',87,0.7148494299894459,4.0,60.0,,20.0,0.0,bean,"[1, 1, 1, 1]"
179,623.0,b'El Rey Mezcal Bar',108,0.7286683572674197,5.0,60.0,,20.0,0.0,pricey,"[1, 1, 1, 1, 1]"
158,623.0,b'El Rey Mezcal Bar',93,0.9551038824967226,6.0,60.0,,20.0,0.0,bright,"[1, 1, 1, 1, 1, 1]"
171,623.0,b'El Rey Mezcal Bar',135,0.8666316726666361,7.0,60.0,,20.0,0.0,fancy,"[1, 1, 1, 1, 1, 1, 1]"
96,623.0,b'El Rey Mezcal Bar',319,0.6137081519676922,8.0,60.0,,20.0,0.0,poutine,"[1, 1, 1, 1, 1, 1, 1, 1]"
142,623.0,b'El Rey Mezcal Bar',1121,0.30185437918072555,9.0,60.0,,20.0,0.0,window,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
148,623.0,b'El Rey Mezcal Bar',1022,0.3548946761289073,10.0,60.0,,20.0,0.0,mall,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
80,623.0,b'El Rey Mezcal Bar',2710,0.05932966837933709,11.0,60.0,,20.0,0.0,avocado,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
3,623.0,b'El Rey Mezcal Bar',2680,0.07250181781197909,12.0,60.0,,20.0,0.0,bar,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
117,623.0,b'El Rey Mezcal Bar',2690,0.07515074071059483,13.0,60.0,,20.0,0.0,rib,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
183,623.0,b'El Rey Mezcal Bar',2783,0.06118097582271448,14.0,60.0,,20.0,0.0,attentive,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
206,623.0,b'El Rey Mezcal Bar',1875,0.1847156223101117,15.0,60.0,,20.0,0.0,salt,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
184,623.0,b'El Rey Mezcal Bar',2275,0.12397700238364803,16.0,60.0,,20.0,0.0,reasonable,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
41,623.0,b'El Rey Mezcal Bar',2194,0.15166398227431066,17.0,60.0,,20.0,0.0,beer,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
49,623.0,b'El Rey Mezcal Bar',2477,0.12309467268430363,18.0,60.0,,20.0,0.0,cheese,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
197,623.0,b'El Rey Mezcal Bar',2892,0.0667021114921656,19.0,60.0,,20.0,0.0,refreshing,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
60,623.0,b'El Rey Mezcal Bar',5551,-0.23894449620480873,20.0,60.0,fail,20.0,0.0,squid,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
,2053.0,b'La Cubana',,,0.0,85.0,,20.0,0.0,squid,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
192,2053.0,b'La Cubana',6411,-0.12744685125896826,1.0,85.0,,20.0,0.0,sweetness,[1]
158,2053.0,b'La Cubana',7382,-0.5879818751967948,2.0,85.0,,20.0,0.0,bright,"[1, 1]"
24,2053.0,b'La Cubana',7292,-0.4742151340640368,3.0,85.0,,20.0,0.0,birthday,"[1, 1, 1]"
45,2053.0,b'La Cubana',424,0.665853695458452,4.0,85.0,,20.0,0.0,egg,"[1, 1, 1, 1]"
63,2053.0,b'La Cubana',82,1.8449017018111764,5.0,85.0,,20.0,0.0,donut,"[1, 1, 1, 1, 1]"
122,2053.0,b'La Cubana',67,1.963924212005514,6.0,85.0,,20.0,0.0,bean,"[1, 1, 1, 1, 1, 1]"
41,2053.0,b'La Cubana',43,2.555635107291028,7.0,85.0,,20.0,0.0,beer,"[1, 1, 1, 1, 1, 1, 1]"
167,2053.0,b'La Cubana',37,2.5909017689136764,8.0,85.0,,20.0,0.0,pleasant,"[1, 1, 1, 1, 1, 1, 1, 1]"
48,2053.0,b'La Cubana',49,2.2688894401480413,9.0,85.0,,20.0,0.0,burger,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
25,2053.0,b'La Cubana',5048,-0.17110303802215576,10.0,85.0,,20.0,0.0,vegetarian,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
82,2053.0,b'La Cubana',5688,-0.3076175440400154,11.0,85.0,,20.0,0.0,booth,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
152,2053.0,b'La Cubana',4787,-0.09598520073194872,12.0,85.0,,20.0,0.0,fresh,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
119,2053.0,b'La Cubana',5631,-0.2841783836784324,13.0,85.0,,20.0,0.0,bun,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
3,2053.0,b'La Cubana',5151,-0.16160518723655337,14.0,85.0,,20.0,0.0,bar,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
