critiqued_keyphrase,item_id,item_name,item_rank,item_score,iteration,num_existing_keyphrases,result,target_rank,user_id,critiqued_keyphrase_name,lambda
,78.0,b'The Works Gourmet Burger Bistro',,,0.0,20.0,,20.0,0.0,,
48,78.0,b'The Works Gourmet Burger Bistro',445,0.14662429478963482,1.0,20.0,,20.0,0.0,burger,[1.0]
4,78.0,b'The Works Gourmet Burger Bistro',252,0.5575481979271012,2.0,20.0,,20.0,0.0,fry,"[0.33333333333333326, 1.0]"
5,78.0,b'The Works Gourmet Burger Bistro',481,0.4656247975647394,3.0,20.0,,20.0,0.0,fried,"[1.0, 1.0, 0.5]"
7,78.0,b'The Works Gourmet Burger Bistro',261,0.5760698896541312,4.0,20.0,,20.0,0.0,dinner,"[1.0, 1.0, 0.19999999999999996, 0.33333333333333326]"
25,78.0,b'The Works Gourmet Burger Bistro',311,2.751322446707899,5.0,20.0,,20.0,0.0,vegetarian,"[1.0, 1.0, 0.19999999999999996, 0.33333333333333326, 1.0]"
27,78.0,b'The Works Gourmet Burger Bistro',406,2.3636072911746746,6.0,20.0,,20.0,0.0,bbq,"[1.0, 1.0, 0.5, 0.33333333333333326, 1.0, 1.0]"
34,78.0,b'The Works Gourmet Burger Bistro',309,2.7355431605926435,7.0,20.0,,20.0,0.0,potato,"[1.0, 1.0, 0.5, 0.33333333333333326, 1.0, 1.0, 1.0]"
35,78.0,b'The Works Gourmet Burger Bistro',527,2.033706700521908,8.0,20.0,,20.0,0.0,crispy,"[1.0, 0.5, 1.0, 0.33333333333333326, 1.0, 1.0, 0.5, 1.0]"
49,78.0,b'The Works Gourmet Burger Bistro',162,3.8763975907932977,9.0,20.0,,20.0,0.0,cheese,"[1.0, 1.0, 1.0, 0.33333333333333326, 1.0, 0.5, 1.0, 1.0, 1.0]"
52,78.0,b'The Works Gourmet Burger Bistro',161,3.987767031081585,10.0,20.0,,20.0,0.0,beef,"[1.0, 1.0, 0.5, 0.33333333333333326, 1.0, 1.0, 1.0, 1.0, 1.0, 0.33333333333333326]"
56,78.0,b'The Works Gourmet Burger Bistro',162,4.020662635701086,11.0,20.0,,20.0,0.0,chicken,"[1.0, 1.0, 0.5, 0.33333333333333326, 1.0, 1.0, 1.0, 1.0, 1.0, 0.33333333333333326, 0.5]"
85,78.0,b'The Works Gourmet Burger Bistro',182,3.796838910322263,12.0,20.0,,20.0,0.0,patty,"[1.0, 1.0, 1.0, 0.33333333333333326, 1.0, 1.0, 1.0, 1.0, 1.0, 0.33333333333333326, 0.5, 0.0]"
96,78.0,b'The Works Gourmet Burger Bistro',122,4.638234940228848,13.0,20.0,,20.0,0.0,poutine,"[1.0, 1.0, 0.5, 0.33333333333333326, 1.0, 1.0, 1.0, 1.0, 1.0, 0.33333333333333326, 0.5, 0.0, 1.0]"
119,78.0,b'The Works Gourmet Burger Bistro',153,4.063485372835039,14.0,20.0,,20.0,0.0,bun,"[1.0, 1.0, 0.5, 0.33333333333333326, 1.0, 1.0, 1.0, 1.0, 1.0, 0.33333333333333326, 0.5, 0.0, 1.0, 1.0]"
126,78.0,b'The Works Gourmet Burger Bistro',150,4.098328794628822,15.0,20.0,,20.0,0.0,milk,"[1.0, 1.0, 0.5, 0.33333333333333326, 1.0, 1.0, 1.0, 1.0, 1.0, 0.33333333333333326, 0.5, 0.050000000000000044, 1.0, 1.0, 0.5]"
153,78.0,b'The Works Gourmet Burger Bistro',151,4.216500551422732,16.0,20.0,,20.0,0.0,friendly,"[1.0, 1.0, 0.5, 0.33333333333333326, 1.0, 1.0, 1.0, 0.5, 1.0, 0.5, 0.5, 0.050000000000000044, 1.0, 1.0, 1.0, 0.25]"
182,78.0,b'The Works Gourmet Burger Bistro',141,4.371764079491793,17.0,20.0,,20.0,0.0,chip,"[1.0, 1.0, 0.5, 0.33333333333333326, 1.0, 1.0, 1.0, 0.5, 1.0, 0.5, 0.5, 0.050000000000000044, 1.0, 1.0, 1.0, 0.25, 1.0]"
193,78.0,b'The Works Gourmet Burger Bistro',161,4.0253623083361365,18.0,20.0,,20.0,0.0,mayo,"[1.0, 0.5, 0.5, 0.33333333333333326, 1.0, 1.0, 0.5, 0.19999999999999996, 1.0, 0.5, 0.5, 0.050000000000000044, 1.0, 1.0, 1.0, 0.25, 1.0, 1.0]"
206,78.0,b'The Works Gourmet Burger Bistro',115,4.730739831346382,19.0,20.0,,20.0,0.0,salt,"[1.0, 1.0, 1.0, 0.33333333333333326, 1.0, 1.0, 1.0, 0.5, 1.0, 0.33333333333333326, 0.5, 0.0, 1.0, 1.0, 0.5, 0.25, 1.0, 1.0, 1.0]"
217,78.0,b'The Works Gourmet Burger Bistro',128,4.430323932946413,20.0,20.0,fail,20.0,0.0,juicy,"[1.0, 1.0, 1.0, 0.33333333333333326, 1.0, 1.0, 1.0, 0.5, 1.0, 0.33333333333333326, 0.5, 0.050000000000000044, 1.0, 1.0, 0.5, 0.25, 1.0, 1.0, 0.5, 1.0]"
,623.0,b'El Rey Mezcal Bar',,,0.0,20.0,,20.0,0.0,juicy,"[1.0, 1.0, 1.0, 0.33333333333333326, 1.0, 1.0, 1.0, 0.5, 1.0, 0.33333333333333326, 0.5, 0.050000000000000044, 1.0, 1.0, 0.5, 0.25, 1.0, 1.0, 0.5, 1.0]"
58,623.0,b'El Rey Mezcal Bar',115,2.0302035500513833,1.0,20.0,,20.0,0.0,cocktail,[0.5]
3,623.0,b'El Rey Mezcal Bar',115,2.0354724098244397,2.0,20.0,,20.0,0.0,bar,"[0.5, 0.19999999999999996]"
4,623.0,b'El Rey Mezcal Bar',154,1.7274578826539257,3.0,20.0,,20.0,0.0,fry,"[0.5, 0.09090909090909083, 1.0]"
12,623.0,b'El Rey Mezcal Bar',140,1.9703414215200743,4.0,20.0,,20.0,0.0,mexican,"[0.5, 0.19999999999999996, 1.0, 1.0]"
16,623.0,b'El Rey Mezcal Bar',485,0.5555569106340195,5.0,20.0,,20.0,0.0,casual,"[0.10000000000000009, 0.19999999999999996, 1.0, 1.0, 0.5]"
49,623.0,b'El Rey Mezcal Bar',808,0.6253595956517255,6.0,20.0,,20.0,0.0,cheese,"[0.10000000000000009, 1.0, 1.0, 1.0, 1.0, 1.0]"
52,623.0,b'El Rey Mezcal Bar',199,2.0910765030970224,7.0,20.0,,20.0,0.0,beef,"[0.5, 0.5, 1.0, 0.05555555555555558, 1.0, 1.0, 1.0]"
66,623.0,b'El Rey Mezcal Bar',136,2.830350161251486,8.0,20.0,,20.0,0.0,octopus,"[0.5, 0.5, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0]"
74,623.0,b'El Rey Mezcal Bar',137,2.882484885791455,9.0,20.0,,20.0,0.0,skewer,"[0.5, 0.5, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0, 1.0]"
122,623.0,b'El Rey Mezcal Bar',121,3.0576137870439157,10.0,20.0,,20.0,0.0,bean,"[0.5, 0.19999999999999996, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0]"
142,623.0,b'El Rey Mezcal Bar',250,2.4418095311295676,11.0,20.0,,20.0,0.0,window,"[0.5, 0.5, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0]"
147,623.0,b'El Rey Mezcal Bar',207,2.7621262648468665,12.0,20.0,,20.0,0.0,market,"[0.5, 0.5, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0]"
149,623.0,b'El Rey Mezcal Bar',200,2.9039736114401116,13.0,20.0,,20.0,0.0,quick,"[0.5, 0.5, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5]"
153,623.0,b'El Rey Mezcal Bar',229,2.792303133710667,14.0,20.0,,20.0,0.0,friendly,"[0.5, 0.5, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0.5]"
164,623.0,b'El Rey Mezcal Bar',224,2.8138746154924803,15.0,20.0,,20.0,0.0,quiet,"[0.5, 0.5, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0.5, 0.5]"
168,623.0,b'El Rey Mezcal Bar',239,2.7483335515573213,16.0,20.0,,20.0,0.0,fair,"[0.5, 0.5, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0.5, 0.5, 0.5]"
173,623.0,b'El Rey Mezcal Bar',311,2.423182905533623,17.0,20.0,,20.0,0.0,dark,"[0.5, 0.5, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0.5, 0.5, 0.5, 1.0]"
181,623.0,b'El Rey Mezcal Bar',250,2.6893145364145656,18.0,20.0,,20.0,0.0,music,"[0.5, 0.5, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0.5, 0.5, 0.5, 1.0, 1.0]"
183,623.0,b'El Rey Mezcal Bar',250,2.675344771526685,19.0,20.0,,20.0,0.0,attentive,"[0.5, 0.5, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0.5, 0.5, 0.5, 1.0, 1.0, 1.0]"
213,623.0,b'El Rey Mezcal Bar',241,2.8118294817750398,20.0,20.0,fail,20.0,0.0,pot,"[0.5, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0.5, 0.5, 0.5, 1.0, 1.0, 1.0, 0.11111111111111116]"
,2053.0,b'La Cubana',,,0.0,20.0,,20.0,0.0,pot,"[0.5, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0.5, 0.5, 0.5, 1.0, 1.0, 1.0, 0.11111111111111116]"
42,2053.0,b'La Cubana',181,0.5166538553074893,1.0,20.0,,20.0,0.0,sandwich,[1.0]
3,2053.0,b'La Cubana',174,0.5779404535284292,2.0,20.0,,20.0,0.0,bar,"[1.0, 0.25]"
4,2053.0,b'La Cubana',1089,0.23217680793941398,3.0,20.0,,20.0,0.0,fry,"[1.0, 0.25, 1.0]"
7,2053.0,b'La Cubana',1054,0.30955373269898356,4.0,20.0,,20.0,0.0,dinner,"[1.0, 1.0, 1.0, 0.5]"
16,2053.0,b'La Cubana',48,2.3955380239137023,5.0,20.0,,20.0,0.0,casual,"[1.0, 1.0, 1.0, 0.5, 1.0]"
27,2053.0,b'La Cubana',41,2.5241854356293967,6.0,20.0,,20.0,0.0,bbq,"[1.0, 1.0, 1.0, 0.33333333333333326, 1.0, 0.33333333333333326]"
48,2053.0,b'La Cubana',47,2.2487496677377345,7.0,20.0,,20.0,0.0,burger,"[1.0, 1.0, 1.0, 0.33333333333333326, 1.0, 0.5, 1.0]"
51,2053.0,b'La Cubana',53,2.2062206500594588,8.0,20.0,,20.0,0.0,pork,"[1.0, 1.0, 1.0, 0.33333333333333326, 1.0, 0.33333333333333326, 1.0, 0.5]"
