critiqued_keyphrase,item_id,item_name,item_rank,item_score,iteration,num_existing_keyphrases,result,target_rank,user_id,critiqued_keyphrase_name,lambda
,78.0,b'The Works Gourmet Burger Bistro',,,0.0,20.0,,20.0,0.0,,
48,78.0,b'The Works Gourmet Burger Bistro',6164,-0.05122619273505613,1.0,20.0,,20.0,0.0,burger,[0.0]
4,78.0,b'The Works Gourmet Burger Bistro',6164,-0.05122619273505613,2.0,20.0,,20.0,0.0,fry,"[0.0, 0.0]"
5,78.0,b'The Works Gourmet Burger Bistro',7078,-0.16313805542446735,3.0,20.0,,20.0,0.0,fried,"[0.0, 0.0, 1.0]"
7,78.0,b'The Works Gourmet Burger Bistro',7084,-0.12277362214876048,4.0,20.0,,20.0,0.0,dinner,"[0.0, 0.0, 0.0, 1.0]"
25,78.0,b'The Works Gourmet Burger Bistro',7261,-0.23468548483817167,5.0,20.0,,20.0,0.0,vegetarian,"[0.0, 0.0, 1.0, 1.0, 0.0]"
27,78.0,b'The Works Gourmet Burger Bistro',7261,-0.23468548483817167,6.0,20.0,,20.0,0.0,bbq,"[0.0, 0.0, 1.0, 1.0, 0.0, 0.0]"
34,78.0,b'The Works Gourmet Burger Bistro',7261,-0.23468548483817167,7.0,20.0,,20.0,0.0,potato,"[0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]"
35,78.0,b'The Works Gourmet Burger Bistro',7261,-0.23468548483817167,8.0,20.0,,20.0,0.0,crispy,"[0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
49,78.0,b'The Works Gourmet Burger Bistro',5080,-0.024918754616092186,9.0,20.0,,20.0,0.0,cheese,"[0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
52,78.0,b'The Works Gourmet Burger Bistro',1353,0.1321715650160355,10.0,20.0,,20.0,0.0,beef,"[0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]"
56,78.0,b'The Works Gourmet Burger Bistro',533,0.26053123001519646,11.0,20.0,,20.0,0.0,chicken,"[0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]"
85,78.0,b'The Works Gourmet Burger Bistro',533,0.26053123001519646,12.0,20.0,,20.0,0.0,patty,"[0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0]"
96,78.0,b'The Works Gourmet Burger Bistro',533,0.26053123001519646,13.0,20.0,,20.0,0.0,poutine,"[0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0]"
119,78.0,b'The Works Gourmet Burger Bistro',533,0.26053123001519646,14.0,20.0,,20.0,0.0,bun,"[0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]"
126,78.0,b'The Works Gourmet Burger Bistro',533,0.26053123001519646,15.0,20.0,,20.0,0.0,milk,"[0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
153,78.0,b'The Works Gourmet Burger Bistro',478,0.3025357623001975,16.0,20.0,,20.0,0.0,friendly,"[0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
182,78.0,b'The Works Gourmet Burger Bistro',478,0.3025357623001975,17.0,20.0,,20.0,0.0,chip,"[0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
193,78.0,b'The Works Gourmet Burger Bistro',478,0.3025357623001975,18.0,20.0,,20.0,0.0,mayo,"[0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
206,78.0,b'The Works Gourmet Burger Bistro',478,0.3025357623001975,19.0,20.0,,20.0,0.0,salt,"[0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
217,78.0,b'The Works Gourmet Burger Bistro',478,0.3025357623001975,20.0,20.0,fail,20.0,0.0,juicy,"[0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
,623.0,b'El Rey Mezcal Bar',,,0.0,20.0,,20.0,0.0,juicy,"[0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
58,623.0,b'El Rey Mezcal Bar',136,0.36699220131062793,1.0,20.0,,20.0,0.0,cocktail,[1.0]
3,623.0,b'El Rey Mezcal Bar',173,0.37357827602694893,2.0,20.0,,20.0,0.0,bar,"[1.0, 1.0]"
4,623.0,b'El Rey Mezcal Bar',292,0.29729312511246453,3.0,20.0,,20.0,0.0,fry,"[1.0, 1.0, 1.0]"
12,623.0,b'El Rey Mezcal Bar',292,0.29729312511246453,4.0,20.0,,20.0,0.0,mexican,"[1.0, 1.0, 1.0, 0.0]"
16,623.0,b'El Rey Mezcal Bar',292,0.29729312511246453,5.0,20.0,,20.0,0.0,casual,"[1.0, 1.0, 1.0, 0.0, 0.0]"
49,623.0,b'El Rey Mezcal Bar',356,0.2877700219157956,6.0,20.0,,20.0,0.0,cheese,"[1.0, 1.0, 1.0, 0.0, 0.0, 1.0]"
52,623.0,b'El Rey Mezcal Bar',356,0.2877700219157956,7.0,20.0,,20.0,0.0,beef,"[1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0]"
66,623.0,b'El Rey Mezcal Bar',134,0.8928251465964903,8.0,20.0,,20.0,0.0,octopus,"[1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0]"
74,623.0,b'El Rey Mezcal Bar',111,1.0615675118711354,9.0,20.0,,20.0,0.0,skewer,"[1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0]"
122,623.0,b'El Rey Mezcal Bar',134,0.8928251465964903,10.0,20.0,,20.0,0.0,bean,"[1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]"
142,623.0,b'El Rey Mezcal Bar',111,1.0615675118711354,11.0,20.0,,20.0,0.0,window,"[1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]"
147,623.0,b'El Rey Mezcal Bar',134,0.8928251465964903,12.0,20.0,,20.0,0.0,market,"[1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
149,623.0,b'El Rey Mezcal Bar',111,1.1324911851677577,13.0,20.0,,20.0,0.0,quick,"[1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
153,623.0,b'El Rey Mezcal Bar',142,0.9358312004607516,14.0,20.0,,20.0,0.0,friendly,"[1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]"
164,623.0,b'El Rey Mezcal Bar',142,0.9358312004607516,15.0,20.0,,20.0,0.0,quiet,"[1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]"
168,623.0,b'El Rey Mezcal Bar',142,0.9358312004607516,16.0,20.0,,20.0,0.0,fair,"[1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]"
173,623.0,b'El Rey Mezcal Bar',142,0.9358312004607516,17.0,20.0,,20.0,0.0,dark,"[1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]"
181,623.0,b'El Rey Mezcal Bar',142,0.9358312004607516,18.0,20.0,,20.0,0.0,music,"[1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
183,623.0,b'El Rey Mezcal Bar',142,0.9358312004607516,19.0,20.0,,20.0,0.0,attentive,"[1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
213,623.0,b'El Rey Mezcal Bar',135,1.0348930662091866,20.0,20.0,fail,20.0,0.0,pot,"[1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
,2053.0,b'La Cubana',,,0.0,20.0,,20.0,0.0,pot,"[1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
42,2053.0,b'La Cubana',131,0.2371167700977312,1.0,20.0,,20.0,0.0,sandwich,[0.0]
3,2053.0,b'La Cubana',148,0.29840336831867054,2.0,20.0,,20.0,0.0,bar,"[0.0, 1.0]"
4,2053.0,b'La Cubana',148,0.29840336831867054,3.0,20.0,,20.0,0.0,fry,"[0.0, 1.0, 0.0]"
