critiqued_keyphrase,item_id,item_name,item_rank,item_score,iteration,num_existing_keyphrases,result,target_rank,user_id,critiqued_keyphrase_name,lambda
,78.0,b'The Works Gourmet Burger Bistro',,,0.0,20.0,,20.0,0.0,,
48,78.0,b'The Works Gourmet Burger Bistro',7123,-0.152875941780242,1.0,20.0,,20.0,0.0,burger,"[1.0, -0.5137705260013593]"
4,78.0,b'The Works Gourmet Burger Bistro',2668,0.013526814855672323,2.0,20.0,,20.0,0.0,fry,"[1.0, 0.0, 0.23857817773147239]"
5,78.0,b'The Works Gourmet Burger Bistro',7112,-0.1995991067545021,3.0,20.0,,20.0,0.0,fried,"[1.0, 0.0, 0.0, 0.6629007437362784]"
7,78.0,b'The Works Gourmet Burger Bistro',6753,-0.16906575538800603,4.0,20.0,,20.0,0.0,dinner,"[1.0, 0.0, 0.39049164436270845, 1.0, 0.0]"
25,78.0,b'The Works Gourmet Burger Bistro',810,0.45352642135373333,5.0,20.0,,20.0,0.0,vegetarian,"[1.0, -1.0, -1.0, -1.0, -1.0, 0.623968061728974]"
27,78.0,b'The Works Gourmet Burger Bistro',446,0.6377284761091135,6.0,20.0,,20.0,0.0,bbq,"[1.0, -1.0, -1.0, -1.0, -1.0, 0.5603259201982418, -1.0]"
34,78.0,b'The Works Gourmet Burger Bistro',703,0.5322292819385563,7.0,20.0,,20.0,0.0,potato,"[1.0, -1.0, -1.0, -1.0, -1.0, 0.6343115732917073, -1.0, -1.0]"
35,78.0,b'The Works Gourmet Burger Bistro',594,0.740420246202008,8.0,20.0,,20.0,0.0,crispy,"[1.0, -1.0, -1.0, -1.0, -1.0, 0.8162441223824453, -1.0, -1.0, -1.0]"
49,78.0,b'The Works Gourmet Burger Bistro',1540,0.3489760839177385,9.0,20.0,,20.0,0.0,cheese,"[1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -0.9396181542371407]"
52,78.0,b'The Works Gourmet Burger Bistro',1079,0.5315113407847755,10.0,20.0,,20.0,0.0,beef,"[1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -0.6155764290236241, -1.0]"
56,78.0,b'The Works Gourmet Burger Bistro',594,0.8604136533280236,11.0,20.0,,20.0,0.0,chicken,"[1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -0.04065539367527471, -1.0, -1.0]"
