critiqued_keyphrase,item_id,item_name,item_rank,item_score,iteration,num_existing_keyphrases,result,target_rank,user_id,critiqued_keyphrase_name,lambda
,75.0,b'Salad King Restaurant',,,0.0,20.0,,20.0,1.0,,
2,75.0,b'Salad King Restaurant',3,6.55000364207293,1.0,20.0,successful,20.0,1.0,thai,"[0.7420779333965748, 0.4889250757671926]"
,78.0,b'The Works Gourmet Burger Bistro',,,0.0,20.0,,20.0,1.0,thai,"[0.7420779333965748, 0.4889250757671926]"
48,78.0,b'The Works Gourmet Burger Bistro',7272,-0.4243019298581536,1.0,20.0,,20.0,1.0,burger,"[1.0, 0.3485303436900764]"
4,78.0,b'The Works Gourmet Burger Bistro',7261,-0.9055355801862918,2.0,20.0,,20.0,1.0,fry,"[1.0, -1.0, 0.6168751851546479]"
5,78.0,b'The Works Gourmet Burger Bistro',5609,-0.16308235440239072,3.0,20.0,,20.0,1.0,fried,"[0.5689505312107173, -1.0, 1.0, -0.15451726322015924]"
8,78.0,b'The Works Gourmet Burger Bistro',6968,-0.8890863154706242,4.0,20.0,,20.0,1.0,lunch,"[0.5507069048995334, -1.0, -0.4140915077798397, -1.0, 1.0]"
25,78.0,b'The Works Gourmet Burger Bistro',6863,-0.7950805454030251,5.0,20.0,,20.0,1.0,vegetarian,"[0.7125169322766696, -1.0, 0.15256358696640127, -1.0, 1.0, -1.0]"
27,78.0,b'The Works Gourmet Burger Bistro',5323,-0.16225791110531518,6.0,20.0,,20.0,1.0,bbq,"[1.0, -1.0, 0.4902226632594868, -1.0, 1.0, -1.0, -1.0]"
49,78.0,b'The Works Gourmet Burger Bistro',512,2.1177630919195596,7.0,20.0,,20.0,1.0,cheese,"[1.0, -1.0, -1.0, -1.0, 0.3920478682093529, -1.0, -1.0, 1.0]"
52,78.0,b'The Works Gourmet Burger Bistro',514,2.052752579576975,8.0,20.0,,20.0,1.0,beef,"[1.0, -1.0, -1.0, -1.0, 0.5477367007468019, -1.0, -1.0, 1.0, -1.0]"
56,78.0,b'The Works Gourmet Burger Bistro',469,2.145079095667849,9.0,20.0,,20.0,1.0,chicken,"[1.0, -1.0, -1.0, -1.0, -0.6232780875855075, -1.0, -1.0, 1.0, -1.0, 1.0]"
80,78.0,b'The Works Gourmet Burger Bistro',508,1.9985158603254405,10.0,20.0,,20.0,1.0,avocado,"[0.8275396563257007, -1.0, -1.0, -1.0, -0.5119887804590445, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0]"
85,78.0,b'The Works Gourmet Burger Bistro',624,1.740166902091615,11.0,20.0,,20.0,1.0,patty,"[0.6941535330188628, -1.0, -1.0, -1.0, -0.40745354259261457, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0]"
96,78.0,b'The Works Gourmet Burger Bistro',705,1.5646065096396529,12.0,20.0,,20.0,1.0,poutine,"[0.5111029627701504, -1.0, -1.0, -1.0, -0.33763490270860974, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0]"
113,78.0,b'The Works Gourmet Burger Bistro',6877,-2.1535779486320568,13.0,20.0,,20.0,1.0,bacon,"[1.0, -1.0, -1.0, -1.0, 0.36860130801616386, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0]"
119,78.0,b'The Works Gourmet Burger Bistro',6647,-1.6878688367499506,14.0,20.0,,20.0,1.0,bun,"[1.0, -1.0, -1.0, -1.0, 0.6313899507409473, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0]"
126,78.0,b'The Works Gourmet Burger Bistro',6623,-1.7994641386071633,15.0,20.0,,20.0,1.0,milk,"[1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -0.47909911319133935]"
182,78.0,b'The Works Gourmet Burger Bistro',6771,-2.029191480419243,16.0,20.0,,20.0,1.0,chip,"[1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -0.23744805046717687, -1.0]"
193,78.0,b'The Works Gourmet Burger Bistro',6819,-2.113987168257083,17.0,20.0,,20.0,1.0,mayo,"[1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -0.17765480063076933, -1.0, -1.0]"
204,78.0,b'The Works Gourmet Burger Bistro',6908,-2.244216376091847,18.0,20.0,,20.0,1.0,dip,"[1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.12293991630593593, -1.0, -1.0, -1.0]"
206,78.0,b'The Works Gourmet Burger Bistro',6928,-2.275521999233684,19.0,20.0,,20.0,1.0,salt,"[1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.22370455236741438, -1.0, -1.0, -1.0, -1.0]"
217,78.0,b'The Works Gourmet Burger Bistro',6906,-2.183280006933945,20.0,20.0,fail,20.0,1.0,juicy,"[1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.32446918842889255, -1.0, -1.0, -1.0, -1.0, -1.0]"
,99.0,b'La Bella Managua',,,0.0,20.0,,20.0,1.0,juicy,"[1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.32446918842889255, -1.0, -1.0, -1.0, -1.0, -1.0]"
46,99.0,b'La Bella Managua',7394,-0.8852845664628648,1.0,20.0,,20.0,1.0,fish,"[1.0, -0.19107007214773752]"
5,99.0,b'La Bella Managua',479,0.9421774659935662,2.0,20.0,,20.0,1.0,fried,"[1.0, 0.5668287214060381, -1.0]"
16,99.0,b'La Bella Managua',118,2.7972669183154197,3.0,20.0,,20.0,1.0,casual,"[0.6365365541781718, 1.0, -0.8183174828197038, -1.0]"
25,99.0,b'La Bella Managua',479,1.2690903705312717,4.0,20.0,,20.0,1.0,vegetarian,"[0.5274380955426967, 1.0, 0.01700473534917668, -1.0, -1.0]"
36,99.0,b'La Bella Managua',487,1.4115650326623077,5.0,20.0,,20.0,1.0,shrimp,"[0.7584976279672557, 1.0, 0.02378302618730932, -1.0, -1.0, -1.0]"
49,99.0,b'La Bella Managua',7234,-2.8071479956478242,6.0,20.0,,20.0,1.0,cheese,"[0.4916032575618461, -0.2347005240136264, -1.0, -1.0, -1.0, -1.0, 1.0]"
50,99.0,b'La Bella Managua',5862,-0.5190146749033947,7.0,20.0,,20.0,1.0,salad,"[0.44327286416349376, -1.0, -1.0, -1.0, -1.0, -1.0, 0.23859550192380996, 1.0]"
52,99.0,b'La Bella Managua',5944,-0.6596741775637291,8.0,20.0,,20.0,1.0,beef,"[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.5214811698523432, 1.0, -1.0]"
56,99.0,b'La Bella Managua',6002,-0.705702492175306,9.0,20.0,,20.0,1.0,chicken,"[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.5787664838205877, 1.0, -1.0, 0.0]"
80,99.0,b'La Bella Managua',6543,-1.267728486337586,10.0,20.0,,20.0,1.0,avocado,"[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.6873673765071519, 1.0, -1.0, 0.0, -1.0]"
122,99.0,b'La Bella Managua',6507,-1.4831337765559496,11.0,20.0,,20.0,1.0,bean,"[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 0.12843061433435765, -1.0, -1.0]"
148,99.0,b'La Bella Managua',1681,1.072551459521136,12.0,20.0,,20.0,1.0,mall,"[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.11558014048953824, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0]"
152,99.0,b'La Bella Managua',1754,1.1139758460589813,13.0,20.0,,20.0,1.0,fresh,"[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -0.9364908536581319]"
153,99.0,b'La Bella Managua',441,3.808663081774945,14.0,20.0,,20.0,1.0,friendly,"[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.004375649929335701, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0]"
174,99.0,b'La Bella Managua',445,3.7887751932975755,15.0,20.0,,20.0,1.0,cozy,"[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.059137480167613, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0]"
182,99.0,b'La Bella Managua',403,4.09264090310318,16.0,20.0,,20.0,1.0,chip,"[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.16950155568599135, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0]"
203,99.0,b'La Bella Managua',427,4.140752797871803,17.0,20.0,,20.0,1.0,greasy,"[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.2798656312043699, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0]"
208,99.0,b'La Bella Managua',426,4.259101241896332,18.0,20.0,,20.0,1.0,topped,"[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.501434197282951, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0]"
212,99.0,b'La Bella Managua',409,4.4199769222701155,19.0,20.0,,20.0,1.0,chewy,"[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.5518773085335367, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0]"
215,99.0,b'La Bella Managua',402,4.590082234164464,20.0,20.0,fail,20.0,1.0,sour,"[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.7735980737643207, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]"
,403.0,b'The Bier Markt',,,0.0,20.0,,20.0,1.0,sour,"[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.7735980737643207, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]"
41,403.0,b'The Bier Markt',4315,-0.006706323500261235,1.0,20.0,,20.0,1.0,beer,"[1.0, -0.12305986424195459]"
3,403.0,b'The Bier Markt',7073,-1.9325556042088277,2.0,20.0,,20.0,1.0,bar,"[1.0, -1.0, 0.4353635092350818]"
4,403.0,b'The Bier Markt',7214,-3.0780397651483318,3.0,20.0,,20.0,1.0,fry,"[0.6402314428870941, -1.0, 0.7550061526812051, -1.0]"
37,403.0,b'The Bier Markt',7078,-2.869908095311549,4.0,20.0,,20.0,1.0,bread,"[1.0, -0.6712855863489229, 1.0, -1.0, -1.0]"
48,403.0,b'The Bier Markt',7153,-3.102006002517504,5.0,20.0,,20.0,1.0,burger,"[1.0, -0.4958225004537391, 1.0, -1.0, -1.0, -1.0]"
