critiqued_keyphrase,item_id,item_name,item_rank,item_score,iteration,num_existing_keyphrases,result,target_rank,user_id,critiqued_keyphrase_name,lambda
,78.0,b'The Works Gourmet Burger Bistro',,,0.0,20.0,,20.0,0.0,,
48,78.0,b'The Works Gourmet Burger Bistro',445,0.14662429478963482,1.0,20.0,,20.0,0.0,burger,[1.0]
4,78.0,b'The Works Gourmet Burger Bistro',167,0.4180364088665983,2.0,20.0,,20.0,0.0,fry,"[1.0, 1.0]"
5,78.0,b'The Works Gourmet Burger Bistro',943,0.19421268348777582,3.0,20.0,,20.0,0.0,fried,"[1.0, 1.0, 1.0]"
7,78.0,b'The Works Gourmet Burger Bistro',6944,-0.2730357209753104,4.0,20.0,,20.0,0.0,dinner,"[-1.0, 1.0, 1.0, 1.0]"
25,78.0,b'The Works Gourmet Burger Bistro',738,0.8145905575515736,5.0,20.0,,20.0,0.0,vegetarian,"[-1.0, 1.0, 1.0, 1.0, 1.0]"
27,78.0,b'The Works Gourmet Burger Bistro',525,1.0680114778575052,6.0,20.0,,20.0,0.0,bbq,"[-1.0, 1.0, 1.0, 1.0, 1.0, -1.0]"
34,78.0,b'The Works Gourmet Burger Bistro',695,0.8820435431485215,7.0,20.0,,20.0,0.0,potato,"[-1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0]"
35,78.0,b'The Works Gourmet Burger Bistro',702,0.8923598861015036,8.0,20.0,,20.0,0.0,crispy,"[-1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0]"
49,78.0,b'The Works Gourmet Burger Bistro',2023,0.2630596954352651,9.0,20.0,,20.0,0.0,cheese,"[-1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0]"
52,78.0,b'The Works Gourmet Burger Bistro',2003,0.28444395802891076,10.0,20.0,,20.0,0.0,beef,"[-1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0]"
56,78.0,b'The Works Gourmet Burger Bistro',2086,0.25154835340941106,11.0,20.0,,20.0,0.0,chicken,"[-1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0]"
85,78.0,b'The Works Gourmet Burger Bistro',1143,0.6140515544908248,12.0,20.0,,20.0,0.0,patty,"[-1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0]"
96,78.0,b'The Works Gourmet Burger Bistro',722,0.9228377067547061,13.0,20.0,,20.0,0.0,poutine,"[-1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0]"
119,78.0,b'The Works Gourmet Burger Bistro',1083,0.6354629230578022,14.0,20.0,,20.0,0.0,bun,"[-1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0]"
126,78.0,b'The Works Gourmet Burger Bistro',1067,0.6688994465372254,15.0,20.0,,20.0,0.0,milk,"[-1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0]"
153,78.0,b'The Works Gourmet Burger Bistro',883,0.8369175756772288,16.0,20.0,,20.0,0.0,friendly,"[-1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
182,78.0,b'The Works Gourmet Burger Bistro',740,0.9921811037462889,17.0,20.0,,20.0,0.0,chip,"[-1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
193,78.0,b'The Works Gourmet Burger Bistro',635,1.096969575604791,18.0,20.0,,20.0,0.0,mayo,"[-1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
206,78.0,b'The Works Gourmet Burger Bistro',481,1.3569608329547445,19.0,20.0,,20.0,0.0,salt,"[-1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
217,78.0,b'The Works Gourmet Burger Bistro',505,1.2984110318506583,20.0,20.0,fail,20.0,0.0,juicy,"[-1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
,623.0,b'El Rey Mezcal Bar',,,0.0,20.0,,20.0,0.0,juicy,"[-1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
58,623.0,b'El Rey Mezcal Bar',115,2.0302035500513833,1.0,20.0,,20.0,0.0,cocktail,[1.0]
3,623.0,b'El Rey Mezcal Bar',120,2.0433756994840255,2.0,20.0,,20.0,0.0,bar,"[1.0, 1.0]"
4,623.0,b'El Rey Mezcal Bar',134,1.8908053976550567,3.0,20.0,,20.0,0.0,fry,"[1.0, 1.0, 1.0]"
12,623.0,b'El Rey Mezcal Bar',180,1.6507957823014843,4.0,20.0,,20.0,0.0,mexican,"[1.0, 1.0, 1.0, -1.0]"
16,623.0,b'El Rey Mezcal Bar',176,1.7566616474069767,5.0,20.0,,20.0,0.0,casual,"[1.0, 1.0, 1.0, -1.0, 1.0]"
49,623.0,b'El Rey Mezcal Bar',173,1.7852309569969833,6.0,20.0,,20.0,0.0,cheese,"[1.0, 1.0, 1.0, -1.0, 1.0, -1.0]"
52,623.0,b'El Rey Mezcal Bar',171,1.877688171357144,7.0,20.0,,20.0,0.0,beef,"[1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0]"
66,623.0,b'El Rey Mezcal Bar',137,2.482743296037839,8.0,20.0,,20.0,0.0,octopus,"[1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0]"
74,623.0,b'El Rey Mezcal Bar',154,2.43060857149787,9.0,20.0,,20.0,0.0,skewer,"[1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0]"
122,623.0,b'El Rey Mezcal Bar',177,2.2475763805858238,10.0,20.0,,20.0,0.0,bean,"[1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0]"
142,623.0,b'El Rey Mezcal Bar',238,1.935722607798857,11.0,20.0,,20.0,0.0,window,"[1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0]"
147,623.0,b'El Rey Mezcal Bar',209,2.256039341516156,12.0,20.0,,20.0,0.0,market,"[1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0]"
149,623.0,b'El Rey Mezcal Bar',202,2.397886688109401,13.0,20.0,,20.0,0.0,quick,"[1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0]"
153,623.0,b'El Rey Mezcal Bar',230,2.2862162103799566,14.0,20.0,,20.0,0.0,friendly,"[1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0]"
164,623.0,b'El Rey Mezcal Bar',236,2.243073246816328,15.0,20.0,,20.0,0.0,quiet,"[1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0]"
168,623.0,b'El Rey Mezcal Bar',258,2.111991118946009,16.0,20.0,,20.0,0.0,fair,"[1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0]"
173,623.0,b'El Rey Mezcal Bar',355,1.7868404729223102,17.0,20.0,,20.0,0.0,dark,"[1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0]"
181,623.0,b'El Rey Mezcal Bar',454,1.5207088420413677,18.0,20.0,,20.0,0.0,music,"[1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0]"
183,623.0,b'El Rey Mezcal Bar',459,1.534678606929247,19.0,20.0,,20.0,0.0,attentive,"[1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0]"
213,623.0,b'El Rey Mezcal Bar',410,1.7328023384261173,20.0,20.0,fail,20.0,0.0,pot,"[1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0]"
,2053.0,b'La Cubana',,,0.0,20.0,,20.0,0.0,pot,"[1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0]"
42,2053.0,b'La Cubana',139,0.3768853127026104,1.0,20.0,,20.0,0.0,sandwich,[1.0]
3,2053.0,b'La Cubana',168,0.4994585091444891,2.0,20.0,,20.0,0.0,bar,"[1.0, 1.0]"
4,2053.0,b'La Cubana',417,0.32657668634998177,3.0,20.0,,20.0,0.0,fry,"[1.0, 1.0, 1.0]"
7,2053.0,b'La Cubana',169,0.5395424261564794,4.0,20.0,,20.0,0.0,dinner,"[1.0, 1.0, 1.0, -1.0]"
16,2053.0,b'La Cubana',25,1.5825345717638386,5.0,20.0,,20.0,0.0,casual,"[1.0, 1.0, 1.0, -1.0, 1.0]"
27,2053.0,b'La Cubana',54,1.3030752065200035,6.0,20.0,,20.0,0.0,bbq,"[1.0, 1.0, 1.0, -1.0, 1.0, -1.0]"
48,2053.0,b'La Cubana',38,1.6250875352856384,7.0,20.0,,20.0,0.0,burger,"[1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0]"
51,2053.0,b'La Cubana',39,1.6331826216770327,8.0,20.0,,20.0,0.0,pork,"[1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0]"
55,2053.0,b'La Cubana',39,1.7347228325506387,9.0,20.0,,20.0,0.0,meat,"[1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0]"
56,2053.0,b'La Cubana',66,1.6401395378683903,10.0,20.0,,20.0,0.0,chicken,"[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0]"
