critiqued_keyphrase,item_id,item_name,item_rank,item_score,iteration,num_existing_keyphrases,result,target_rank,user_id,critiqued_keyphrase_name,lambda
,78.0,b'The Works Gourmet Burger Bistro',,,0.0,20.0,,20.0,0.0,,
48,78.0,b'The Works Gourmet Burger Bistro',7274,-0.24907668025974708,1.0,20.0,,20.0,0.0,burger,[-1.0]
4,78.0,b'The Works Gourmet Burger Bistro',6966,-0.3961999333642921,2.0,20.0,,20.0,0.0,fry,"[1.0, -1.0]"
5,78.0,b'The Works Gourmet Burger Bistro',268,0.7413949986518245,3.0,20.0,,20.0,0.0,fried,"[-1.0, 1.0, -1.0]"
7,78.0,b'The Works Gourmet Burger Bistro',7285,-0.9153948135356413,4.0,20.0,,20.0,0.0,dinner,"[1.0, -1.0, 1.0, 1.0]"
25,78.0,b'The Works Gourmet Burger Bistro',264,2.988194985119296,5.0,20.0,,20.0,0.0,vegetarian,"[-1.0, 1.0, -1.0, -1.0, 1.0]"
27,78.0,b'The Works Gourmet Burger Bistro',7014,-2.3056785305526426,6.0,20.0,,20.0,0.0,bbq,"[1.0, -1.0, -1.0, -1.0, -1.0, 1.0]"
34,78.0,b'The Works Gourmet Burger Bistro',340,2.607116007765425,7.0,20.0,,20.0,0.0,potato,"[1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0]"
35,78.0,b'The Works Gourmet Burger Bistro',6885,-1.95437534704064,8.0,20.0,,20.0,0.0,crispy,"[1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0]"
49,78.0,b'The Works Gourmet Burger Bistro',141,4.39319091561573,9.0,20.0,,20.0,0.0,cheese,"[1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0]"
52,78.0,b'The Works Gourmet Burger Bistro',5801,-0.7385434908954538,10.0,20.0,,20.0,0.0,beef,"[1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0]"
56,78.0,b'The Works Gourmet Burger Bistro',642,1.9845498873770664,11.0,20.0,,20.0,0.0,chicken,"[1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0]"
85,78.0,b'The Works Gourmet Burger Bistro',6209,-1.0352554827378677,12.0,20.0,,20.0,0.0,patty,"[1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0]"
96,78.0,b'The Works Gourmet Burger Bistro',542,2.239618990823417,13.0,20.0,,20.0,0.0,poutine,"[1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0]"
119,78.0,b'The Works Gourmet Burger Bistro',6250,-1.0780782198718228,14.0,20.0,,20.0,0.0,bun,"[1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0]"
126,78.0,b'The Works Gourmet Burger Bistro',831,1.5458958495756017,15.0,20.0,,20.0,0.0,milk,"[1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0]"
