,user_id,target_item,item_name,pre_rank,top_prediction_item_name,critiqued_keyphrase,keyphrase_name,post_rank,num_existing_keyphrases
815,374,4164,b'Gilaneh Restaurant',122,b'Yummy Yummy Dumplings',95,corn,115,52
816,350,405,b'Sushi Ocean',97,b'The Alternative Cafe',97,toast,160,56
817,350,405,b'Sushi Ocean',97,b'The Alternative Cafe',207,stuffed,213,56
818,350,405,b'Sushi Ocean',97,b'The Alternative Cafe',123,steak,339,56
819,350,405,b'Sushi Ocean',97,b'The Alternative Cafe',142,window,313,56
820,350,405,b'Sushi Ocean',97,b'The Alternative Cafe',57,dim sum,25,56
821,350,1521,b'Dragon Boat Fusion Cuisine',3455,b'The Alternative Cafe',68,banana,2008,4
822,350,1521,b'Dragon Boat Fusion Cuisine',3455,b'The Alternative Cafe',166,spacious,4251,4
823,350,1521,b'Dragon Boat Fusion Cuisine',3455,b'The Alternative Cafe',202,steamed,1780,4
824,350,1604,"b""Tim Horton's""",448,b'The Alternative Cafe',13,vietnamese,68,29
825,350,1604,"b""Tim Horton's""",448,b'The Alternative Cafe',171,fancy,138,29
826,350,1604,"b""Tim Horton's""",448,b'The Alternative Cafe',85,patty,33,29
827,350,1604,"b""Tim Horton's""",448,b'The Alternative Cafe',161,cheaper,342,29
828,350,1604,"b""Tim Horton's""",448,b'The Alternative Cafe',60,squid,44,29
829,350,3590,b'Greenspan Stuart Dr Chirprctr',6166,b'The Alternative Cafe',27,bbq,6488,44
830,350,3590,b'Greenspan Stuart Dr Chirprctr',6166,b'The Alternative Cafe',121,dumpling,6491,44
831,350,3590,b'Greenspan Stuart Dr Chirprctr',6166,b'The Alternative Cafe',60,squid,1291,44
832,350,3590,b'Greenspan Stuart Dr Chirprctr',6166,b'The Alternative Cafe',23,asian,6573,44
833,350,3590,b'Greenspan Stuart Dr Chirprctr',6166,b'The Alternative Cafe',89,crepe,6568,44
834,350,4028,b'123 Limo',1462,b'The Alternative Cafe',57,dim sum,491,29
835,350,4028,b'123 Limo',1462,b'The Alternative Cafe',29,breakfast,955,29
836,350,4028,b'123 Limo',1462,b'The Alternative Cafe',145,markham,526,29
837,350,4028,b'123 Limo',1462,b'The Alternative Cafe',146,plaza,212,29
838,350,4028,b'123 Limo',1462,b'The Alternative Cafe',141,washroom,1524,29
839,350,5235,b'Yak Communications',5036,b'The Alternative Cafe',202,steamed,6874,6
840,350,5235,b'Yak Communications',5036,b'The Alternative Cafe',82,booth,5003,6
841,350,5235,b'Yak Communications',5036,b'The Alternative Cafe',157,greeted,1064,6
842,350,5235,b'Yak Communications',5036,b'The Alternative Cafe',65,espresso,2532,6
843,350,5235,b'Yak Communications',5036,b'The Alternative Cafe',141,washroom,6970,6
844,350,7209,b'KellySpa',847,b'The Alternative Cafe',23,asian,814,47
845,350,7209,b'KellySpa',847,b'The Alternative Cafe',49,cheese,734,47
846,350,7209,b'KellySpa',847,b'The Alternative Cafe',116,wine,926,47
847,350,7209,b'KellySpa',847,b'The Alternative Cafe',19,indian,2049,47
848,350,7209,b'KellySpa',847,b'The Alternative Cafe',27,bbq,743,47
849,351,711,b'Pizza Land',394,b'Sweetgrass Spa',129,green tea,1103,27
850,351,711,b'Pizza Land',394,b'Sweetgrass Spa',176,tax,1423,27
851,351,711,b'Pizza Land',394,b'Sweetgrass Spa',48,burger,2991,27
852,351,711,b'Pizza Land',394,b'Sweetgrass Spa',43,cake,1141,27
853,351,711,b'Pizza Land',394,b'Sweetgrass Spa',106,matcha,482,27
854,351,1889,b'Maezo - Modern Indian Cuisine',3941,b'Sweetgrass Spa',44,sushi,4004,3
855,351,1889,b'Maezo - Modern Indian Cuisine',3941,b'Sweetgrass Spa',28,japanese,3838,3
856,351,2063,b'Canada College of Education',3830,b'Sweetgrass Spa',13,vietnamese,3761,3
857,351,2063,b'Canada College of Education',3830,b'Sweetgrass Spa',196,rare,2132,3
858,351,2188,b'Canada College of Education',75,b'Sweetgrass Spa',103,fruit,215,79
859,351,2188,b'Canada College of Education',75,b'Sweetgrass Spa',135,parking,1041,79
860,351,2188,b'Canada College of Education',75,b'Sweetgrass Spa',29,breakfast,845,79
861,351,2188,b'Canada College of Education',75,b'Sweetgrass Spa',11,italian,84,79
862,351,2188,b'Canada College of Education',75,b'Sweetgrass Spa',125,pasta,93,79
863,351,2747,b'Fuzz Wax Bar',901,b'Sweetgrass Spa',59,ice cream,1275,26
864,351,2747,b'Fuzz Wax Bar',901,b'Sweetgrass Spa',167,pleasant,1740,26
865,351,2747,b'Fuzz Wax Bar',901,b'Sweetgrass Spa',91,wrap,943,26
866,351,2747,b'Fuzz Wax Bar',901,b'Sweetgrass Spa',171,fancy,1681,26
867,351,2747,b'Fuzz Wax Bar',901,b'Sweetgrass Spa',60,squid,1503,26
868,351,3217,b'United Smiles Of Kensington',673,b'Sweetgrass Spa',65,espresso,6615,23
869,351,3217,b'United Smiles Of Kensington',673,b'Sweetgrass Spa',48,burger,6456,23
870,351,3217,b'United Smiles Of Kensington',673,b'Sweetgrass Spa',196,rare,6443,23
871,351,3217,b'United Smiles Of Kensington',673,b'Sweetgrass Spa',114,tomato,1077,23
872,351,3217,b'United Smiles Of Kensington',673,b'Sweetgrass Spa',161,cheaper,234,23
873,351,3347,b'Pantheon Restaurant',51,b'Sweetgrass Spa',97,toast,882,57
874,351,3347,b'Pantheon Restaurant',51,b'Sweetgrass Spa',125,pasta,100,57
875,351,3347,b'Pantheon Restaurant',51,b'Sweetgrass Spa',161,cheaper,317,57
876,351,3347,b'Pantheon Restaurant',51,b'Sweetgrass Spa',81,juice,15,57
877,351,3347,b'Pantheon Restaurant',51,b'Sweetgrass Spa',216,baked,22,57
878,351,3474,b'King Palace',95,b'Sweetgrass Spa',60,squid,172,46
879,351,3474,b'King Palace',95,b'Sweetgrass Spa',116,wine,128,46
880,351,3474,b'King Palace',95,b'Sweetgrass Spa',72,scallop,72,46
881,351,3474,b'King Palace',95,b'Sweetgrass Spa',114,tomato,482,46
882,351,3474,b'King Palace',95,b'Sweetgrass Spa',61,tempura,1355,46
883,351,4037,"b'Alan G Tanaka, DDS'",149,b'Sweetgrass Spa',196,rare,5,54
884,351,4037,"b'Alan G Tanaka, DDS'",149,b'Sweetgrass Spa',86,sesame,68,54
885,351,4037,"b'Alan G Tanaka, DDS'",149,b'Sweetgrass Spa',108,duck,311,54
886,351,4037,"b'Alan G Tanaka, DDS'",149,b'Sweetgrass Spa',192,sweetness,237,54
887,351,4037,"b'Alan G Tanaka, DDS'",149,b'Sweetgrass Spa',207,stuffed,288,54
888,351,4141,b'00 Gelato',13,b'Sweetgrass Spa',37,bread,3,60
889,351,4141,b'00 Gelato',13,b'Sweetgrass Spa',42,sandwich,112,60
890,351,4141,b'00 Gelato',13,b'Sweetgrass Spa',160,overpriced,34,60
891,351,4141,b'00 Gelato',13,b'Sweetgrass Spa',216,baked,528,60
892,351,4141,b'00 Gelato',13,b'Sweetgrass Spa',43,cake,19,60
893,351,4903,b'SJ Nails & Spa',332,b'Sweetgrass Spa',202,steamed,948,22
894,351,4903,b'SJ Nails & Spa',332,b'Sweetgrass Spa',108,duck,6784,22
895,351,4903,b'SJ Nails & Spa',332,b'Sweetgrass Spa',95,corn,172,22
896,351,4903,b'SJ Nails & Spa',332,b'Sweetgrass Spa',156,soggy,296,22
897,351,4903,b'SJ Nails & Spa',332,b'Sweetgrass Spa',91,wrap,393,22
898,352,591,b'SJ Nails & Spa',795,b'Sweetgrass Spa',38,chocolate,70,45
899,352,591,b'SJ Nails & Spa',795,b'Sweetgrass Spa',161,cheaper,2169,45
900,352,591,b'SJ Nails & Spa',795,b'Sweetgrass Spa',32,taco,778,45
901,352,591,b'SJ Nails & Spa',795,b'Sweetgrass Spa',114,tomato,2186,45
902,352,591,b'SJ Nails & Spa',795,b'Sweetgrass Spa',129,green tea,500,45
903,352,704,b'Agincourt District Library',327,b'Sweetgrass Spa',11,italian,15,39
904,352,704,b'Agincourt District Library',327,b'Sweetgrass Spa',124,salmon,87,39
905,352,704,b'Agincourt District Library',327,b'Sweetgrass Spa',111,lamb,375,39
906,352,704,b'Agincourt District Library',327,b'Sweetgrass Spa',64,olive,179,39
907,352,704,b'Agincourt District Library',327,b'Sweetgrass Spa',211,seasoned,543,39
908,352,903,b'Tim Hortons',180,b'Sweetgrass Spa',79,apple,656,40
909,352,903,b'Tim Hortons',180,b'Sweetgrass Spa',124,salmon,1624,40
910,352,903,b'Tim Hortons',180,b'Sweetgrass Spa',97,toast,676,40
911,352,903,b'Tim Hortons',180,b'Sweetgrass Spa',108,duck,135,40
912,352,903,b'Tim Hortons',180,b'Sweetgrass Spa',113,bacon,712,40
913,352,1120,b'Old Firehall Confectionery',4209,b'Sweetgrass Spa',49,cheese,3504,21
914,352,1120,b'Old Firehall Confectionery',4209,b'Sweetgrass Spa',163,dog,1224,21
915,352,1120,b'Old Firehall Confectionery',4209,b'Sweetgrass Spa',103,fruit,1874,21
916,352,1120,b'Old Firehall Confectionery',4209,b'Sweetgrass Spa',18,bakery,3583,21
917,352,1120,b'Old Firehall Confectionery',4209,b'Sweetgrass Spa',189,fluffy,3433,21
918,352,1228,b'Nguyen Huong Foods Company',4110,b'Sweetgrass Spa',170,disappointing,4139,25
919,352,1228,b'Nguyen Huong Foods Company',4110,b'Sweetgrass Spa',155,refill,3041,25
920,352,1228,b'Nguyen Huong Foods Company',4110,b'Sweetgrass Spa',27,bbq,231,25
921,352,1228,b'Nguyen Huong Foods Company',4110,b'Sweetgrass Spa',43,cake,3552,25
922,352,1228,b'Nguyen Huong Foods Company',4110,b'Sweetgrass Spa',113,bacon,1073,25
923,352,1999,b'Poke Guys',244,b'Sweetgrass Spa',72,scallop,662,38
924,352,1999,b'Poke Guys',244,b'Sweetgrass Spa',144,chair,3731,38
925,352,1999,b'Poke Guys',244,b'Sweetgrass Spa',11,italian,440,38
926,352,1999,b'Poke Guys',244,b'Sweetgrass Spa',64,olive,441,38
927,352,1999,b'Poke Guys',244,b'Sweetgrass Spa',97,toast,690,38
