,user_id,target_item,item_name,pre_rank,top_prediction_item_name,critiqued_keyphrase,keyphrase_name,post_rank,num_existing_keyphrases
0,350,405,b'Sushi Ocean',97,b'The Alternative Cafe',39,ramen,98,56
1,350,405,b'Sushi Ocean',97,b'The Alternative Cafe',121,dumpling,328,56
2,350,405,b'Sushi Ocean',97,b'The Alternative Cafe',141,washroom,223,56
3,350,405,b'Sushi Ocean',97,b'The Alternative Cafe',145,markham,792,56
4,350,405,b'Sushi Ocean',97,b'The Alternative Cafe',47,coffee,199,56
5,350,1521,b'Dragon Boat Fusion Cuisine',3455,b'The Alternative Cafe',68,banana,2008,4
6,350,1521,b'Dragon Boat Fusion Cuisine',3455,b'The Alternative Cafe',161,cheaper,3786,4
7,350,1521,b'Dragon Boat Fusion Cuisine',3455,b'The Alternative Cafe',202,steamed,1780,4
8,350,1604,"b""Tim Horton's""",448,b'The Alternative Cafe',91,wrap,411,29
9,350,1604,"b""Tim Horton's""",448,b'The Alternative Cafe',135,parking,1297,29
10,350,1604,"b""Tim Horton's""",448,b'The Alternative Cafe',234,accept debit,98,29
11,350,1604,"b""Tim Horton's""",448,b'The Alternative Cafe',145,markham,3515,29
12,350,1604,"b""Tim Horton's""",448,b'The Alternative Cafe',13,vietnamese,68,29
13,350,3590,b'Greenspan Stuart Dr Chirprctr',6166,b'The Alternative Cafe',166,spacious,543,44
14,350,3590,b'Greenspan Stuart Dr Chirprctr',6166,b'The Alternative Cafe',95,corn,2131,44
15,350,3590,b'Greenspan Stuart Dr Chirprctr',6166,b'The Alternative Cafe',146,plaza,84,44
16,350,3590,b'Greenspan Stuart Dr Chirprctr',6166,b'The Alternative Cafe',23,asian,6573,44
17,350,3590,b'Greenspan Stuart Dr Chirprctr',6166,b'The Alternative Cafe',107,pancake,642,44
18,350,4028,b'123 Limo',1462,b'The Alternative Cafe',23,asian,6163,29
19,350,4028,b'123 Limo',1462,b'The Alternative Cafe',43,cake,679,29
20,350,4028,b'123 Limo',1462,b'The Alternative Cafe',136,store,1516,29
21,350,4028,b'123 Limo',1462,b'The Alternative Cafe',86,sesame,1601,29
22,350,4028,b'123 Limo',1462,b'The Alternative Cafe',158,bright,6241,29
23,350,5235,b'Yak Communications',5036,b'The Alternative Cafe',65,espresso,2532,6
24,350,5235,b'Yak Communications',5036,b'The Alternative Cafe',202,steamed,6874,6
