,user_id,target_item,item_name,iter,pre_rank,top_prediction_item_name,critiqued_keyphrase,keyphrase_name,post_rank0,post_rank1,post_rank2,post_rank3,post_rank4,post_rank5,post_rank6,post_rank7,post_rank8,post_rank9,post_rank10,num_existing_keyphrases,post_rank
0,300,101,b'Cabin Fever',0,3311,b'Khao San Road',153,friendly,3513,2756,4276,3473,3985,3601,3428,3859,3521,2943,3311,10,"[3513, 2756, 4276, 3473, 3985, 3601, 3428, 3859, 3521, 2943, 3311]"
1,300,101,b'Cabin Fever',1,3311,b'Khao San Road',53,tea,2985,3362,2761,3004,3831,3382,4354,4247,3429,3015,3311,10,"[2985, 3362, 2761, 3004, 3831, 3382, 4354, 4247, 3429, 3015, 3311]"
2,300,101,b'Cabin Fever',2,3311,b'Khao San Road',105,latte,2642,3471,2670,3457,3482,3465,3546,3115,2960,3536,3311,10,"[2642, 3471, 2670, 3457, 3482, 3465, 3546, 3115, 2960, 3536, 3311]"
3,300,101,b'Cabin Fever',3,3311,b'Khao San Road',174,cozy,2487,2553,2387,3398,2584,3479,2841,3027,3329,3174,3311,10,"[2487, 2553, 2387, 3398, 2584, 3479, 2841, 3027, 3329, 3174, 3311]"
4,300,101,b'Cabin Fever',4,3311,b'Khao San Road',136,store,3336,3824,2951,3275,3116,4067,4040,3519,3915,3542,3311,10,"[3336, 3824, 2951, 3275, 3116, 4067, 4040, 3519, 3915, 3542, 3311]"
5,300,886,b'Wok & Roast Chinese BBQ',0,755,b'Khao San Road',27,bbq,866,847,830,815,811,873,445,424,473,795,755,10,"[866, 847, 830, 815, 811, 873, 445, 424, 473, 795, 755]"
6,300,886,b'Wok & Roast Chinese BBQ',1,755,b'Khao San Road',0,chinese,619,360,387,731,515,481,434,439,732,758,755,10,"[619, 360, 387, 731, 515, 481, 434, 439, 732, 758, 755]"
7,300,886,b'Wok & Roast Chinese BBQ',2,755,b'Khao San Road',51,pork,1475,1672,1679,1798,2054,575,583,882,795,772,755,10,"[1475, 1672, 1679, 1798, 2054, 575, 583, 882, 795, 772, 755]"
8,300,886,b'Wok & Roast Chinese BBQ',3,755,b'Khao San Road',5,fried,3165,1629,1484,1173,990,936,976,690,747,787,755,10,"[3165, 1629, 1484, 1173, 990, 936, 976, 690, 747, 787, 755]"
9,300,886,b'Wok & Roast Chinese BBQ',4,755,b'Khao San Road',133,fried rice,68,48,30,26,70,77,120,396,717,774,755,10,"[68, 48, 30, 26, 70, 77, 120, 396, 717, 774, 755]"
10,300,968,b'Porter Airlines',0,574,b'Khao San Road',47,coffee,121,124,146,165,272,355,998,451,612,640,574,10,"[121, 124, 146, 165, 272, 355, 998, 451, 612, 640, 574]"
11,300,968,b'Porter Airlines',1,574,b'Khao San Road',26,downtown,244,146,152,110,99,195,148,150,291,362,574,10,"[244, 146, 152, 110, 99, 195, 148, 150, 291, 362, 574]"
12,300,968,b'Porter Airlines',2,574,b'Khao San Road',148,mall,3354,3367,3475,2738,2758,1350,935,963,660,589,574,10,"[3354, 3367, 3475, 2738, 2758, 1350, 935, 963, 660, 589, 574]"
13,300,968,b'Porter Airlines',3,574,b'Khao San Road',116,wine,108,112,81,82,87,113,162,228,433,525,574,10,"[108, 112, 81, 82, 87, 113, 162, 228, 433, 525, 574]"
14,300,968,b'Porter Airlines',4,574,b'Khao San Road',172,comfortable,290,287,494,496,536,561,481,339,398,582,574,10,"[290, 287, 494, 496, 536, 561, 481, 339, 398, 582, 574]"
15,300,1620,b'Megabus',0,3815,b'Khao San Road',172,comfortable,3430,3312,3809,3850,3449,3663,3502,4071,3740,3754,3815,10,"[3430, 3312, 3809, 3850, 3449, 3663, 3502, 4071, 3740, 3754, 3815]"
16,300,1620,b'Megabus',1,3815,b'Khao San Road',162,immediately,3344,3260,3723,3762,3740,3912,3961,3458,4198,3807,3815,10,"[3344, 3260, 3723, 3762, 3740, 3912, 3961, 3458, 4198, 3807, 3815]"
17,300,1620,b'Megabus',2,3815,b'Khao San Road',150,clean,3216,3256,4092,3852,3923,3967,4197,4193,3796,4090,3815,10,"[3216, 3256, 4092, 3852, 3923, 3967, 4197, 4193, 3796, 4090, 3815]"
18,300,1620,b'Megabus',3,3815,b'Khao San Road',1,fast,838,857,889,954,1055,1374,1738,3615,3966,3800,3815,10,"[838, 857, 889, 954, 1055, 1374, 1738, 3615, 3966, 3800, 3815]"
19,300,1620,b'Megabus',4,3815,b'Khao San Road',213,pot,3708,3716,3719,3710,3764,3638,4005,4157,3909,3671,3815,10,"[3708, 3716, 3719, 3710, 3764, 3638, 4005, 4157, 3909, 3671, 3815]"
20,300,1898,b'416 Snack Bar',0,29,b'Khao San Road',127,fried chicken,747,783,1494,768,484,197,50,62,40,40,29,10,"[747, 783, 1494, 768, 484, 197, 50, 62, 40, 40, 29]"
21,300,1898,b'416 Snack Bar',1,29,b'Khao San Road',3,bar,19,24,11,10,11,13,12,17,18,24,29,10,"[19, 24, 11, 10, 11, 13, 12, 17, 18, 24, 29]"
22,300,1898,b'416 Snack Bar',2,29,b'Khao San Road',148,mall,1886,1922,1466,609,535,479,229,69,48,35,29,10,"[1886, 1922, 1466, 609, 535, 479, 229, 69, 48, 35, 29]"
