,user_id,target_item,item_name,iter,pre_rank,top_prediction_item_name,critiqued_keyphrase,keyphrase_name,post_rank0,post_rank1,post_rank2,post_rank3,post_rank4,post_rank5,post_rank6,post_rank7,post_rank8,post_rank9,post_rank10,num_existing_keyphrases,post_rank
0,300,101,b'Cabin Fever',0,3311,b'Khao San Road',153,friendly,3367,2484,3494,2607,4389,2973,3391,3502,3242,3582,3113,10,"[3367, 2484, 3494, 2607, 4389, 2973, 3391, 3502, 3242, 3582, 3113]"
1,300,101,b'Cabin Fever',1,3311,b'Khao San Road',53,tea,3432,3436,3432,2885,3496,3485,3565,3534,3524,3510,3495,10,"[3432, 3436, 3432, 2885, 3496, 3485, 3565, 3534, 3524, 3510, 3495]"
2,300,101,b'Cabin Fever',2,3311,b'Khao San Road',105,latte,2858,2831,2835,2827,2822,2812,2822,2907,2903,2907,2908,10,"[2858, 2831, 2835, 2827, 2822, 2812, 2822, 2907, 2903, 2907, 2908]"
3,300,101,b'Cabin Fever',3,3311,b'Khao San Road',174,cozy,2784,2781,2780,2795,2794,2790,2797,2812,2835,2223,2827,10,"[2784, 2781, 2780, 2795, 2794, 2790, 2797, 2812, 2835, 2223, 2827]"
4,300,101,b'Cabin Fever',4,3311,b'Khao San Road',136,store,2986,3016,3028,2417,3017,3106,3070,2086,3039,3029,3012,10,"[2986, 3016, 3028, 2417, 3017, 3106, 3070, 2086, 3039, 3029, 3012]"
5,300,886,b'Wok & Roast Chinese BBQ',0,755,b'Khao San Road',27,bbq,298,286,285,278,287,304,182,164,172,245,237,10,"[298, 286, 285, 278, 287, 304, 182, 164, 172, 245, 237]"
6,300,886,b'Wok & Roast Chinese BBQ',1,755,b'Khao San Road',0,chinese,366,249,256,394,294,260,207,184,269,263,256,10,"[366, 249, 256, 394, 294, 260, 207, 184, 269, 263, 256]"
7,300,886,b'Wok & Roast Chinese BBQ',2,755,b'Khao San Road',51,pork,707,763,781,804,883,350,340,447,396,385,379,10,"[707, 763, 781, 804, 883, 350, 340, 447, 396, 385, 379]"
8,300,886,b'Wok & Roast Chinese BBQ',3,755,b'Khao San Road',5,fried,2578,927,836,696,641,619,623,457,494,520,478,10,"[2578, 927, 836, 696, 641, 619, 623, 457, 494, 520, 478]"
9,300,886,b'Wok & Roast Chinese BBQ',4,755,b'Khao San Road',133,fried rice,24,15,11,10,20,19,24,61,101,110,105,10,"[24, 15, 11, 10, 20, 19, 24, 61, 101, 110, 105]"
10,300,968,b'Porter Airlines',0,574,b'Khao San Road',47,coffee,102,104,121,135,201,247,543,272,325,327,290,10,"[102, 104, 121, 135, 201, 247, 543, 272, 325, 327, 290]"
11,300,968,b'Porter Airlines',1,574,b'Khao San Road',26,downtown,210,130,136,100,89,161,122,118,213,244,351,10,"[210, 130, 136, 100, 89, 161, 122, 118, 213, 244, 351]"
