,user_id,target_item,item_name,iter,pre_rank,top_prediction_item_name,critiqued_keyphrase,keyphrase_name,post_rank0,post_rank1,post_rank2,post_rank3,post_rank4,post_rank5,post_rank6,post_rank7,post_rank8,post_rank9,post_rank10,num_existing_keyphrases,post_rank
0,300,886,b'Wok & Roast Chinese BBQ',0,755,b'Khao San Road',145,markham,3023,3055,3047,3065,3720,3756,2032,1116,1044,865,755,10,"[3023, 3055, 3047, 3065, 3720, 3756, 2032, 1116, 1044, 865, 755]"
1,300,886,b'Wok & Roast Chinese BBQ',1,755,b'Khao San Road',60,squid,2903,2919,2901,2934,2967,1874,885,756,783,784,755,10,"[2903, 2919, 2901, 2934, 2967, 1874, 885, 756, 783, 784, 755]"
2,300,886,b'Wok & Roast Chinese BBQ',2,755,b'Khao San Road',73,congee,3288,4499,2024,1842,1076,939,816,765,780,774,755,10,"[3288, 4499, 2024, 1842, 1076, 939, 816, 765, 780, 774, 755]"
3,300,886,b'Wok & Roast Chinese BBQ',3,755,b'Khao San Road',115,lobster,973,929,858,769,688,662,522,600,632,740,755,10,"[973, 929, 858, 769, 688, 662, 522, 600, 632, 740, 755]"
4,300,886,b'Wok & Roast Chinese BBQ',4,755,b'Khao San Road',223,general tao,176,196,224,249,301,246,268,371,773,765,755,10,"[176, 196, 224, 249, 301, 246, 268, 371, 773, 765, 755]"
5,300,968,b'Porter Airlines',0,574,b'Khao San Road',69,cookie,3106,3141,3137,2094,2154,2310,1107,470,416,403,574,10,"[3106, 3141, 3137, 2094, 2154, 2310, 1107, 470, 416, 403, 574]"
6,300,968,b'Porter Airlines',1,574,b'Khao San Road',105,latte,320,319,254,255,533,501,492,550,548,559,574,10,"[320, 319, 254, 255, 533, 501, 492, 550, 548, 559, 574]"
7,300,968,b'Porter Airlines',2,574,b'Khao San Road',42,sandwich,393,797,794,818,866,607,588,686,623,586,574,10,"[393, 797, 794, 818, 866, 607, 588, 686, 623, 586, 574]"
8,300,968,b'Porter Airlines',3,574,b'Khao San Road',163,dog,146,165,175,143,203,273,272,368,566,569,574,10,"[146, 165, 175, 143, 203, 273, 272, 368, 566, 569, 574]"
9,300,968,b'Porter Airlines',4,574,b'Khao San Road',230,alcoholic beverage,133,133,155,263,256,420,439,436,383,625,574,10,"[133, 133, 155, 263, 256, 420, 439, 436, 383, 625, 574]"
10,303,38,b'Aoyama Sushi Restaurant',0,70,b'Gusto 101',129,green tea,98,100,101,144,100,94,147,95,128,65,70,23,"[98, 100, 101, 144, 100, 94, 147, 95, 128, 65, 70]"
11,303,38,b'Aoyama Sushi Restaurant',1,70,b'Gusto 101',193,mayo,927,273,108,89,92,61,74,69,102,105,70,23,"[927, 273, 108, 89, 92, 61, 74, 69, 102, 105, 70]"
12,303,38,b'Aoyama Sushi Restaurant',2,70,b'Gusto 101',189,fluffy,1529,1471,669,604,533,497,159,219,155,91,70,23,"[1529, 1471, 669, 604, 533, 497, 159, 219, 155, 91, 70]"
13,303,38,b'Aoyama Sushi Restaurant',3,70,b'Gusto 101',186,traditional,299,325,365,427,925,459,253,157,142,67,70,23,"[299, 325, 365, 427, 925, 459, 253, 157, 142, 67, 70]"
14,303,38,b'Aoyama Sushi Restaurant',4,70,b'Gusto 101',115,lobster,258,256,259,255,167,209,121,141,90,90,70,23,"[258, 256, 259, 255, 167, 209, 121, 141, 90, 90, 70]"
15,303,1199,"b""Ed's Real Scoop""",0,132,b'Gusto 101',118,waffle,180,261,188,194,209,325,293,278,205,203,132,14,"[180, 261, 188, 194, 209, 325, 293, 278, 205, 203, 132]"
16,303,1199,"b""Ed's Real Scoop""",1,132,b'Gusto 101',186,traditional,4042,4034,4033,4011,4003,1040,416,240,133,107,132,14,"[4042, 4034, 4033, 4011, 4003, 1040, 416, 240, 133, 107, 132]"
