,user_id,target_item,item_name,iter,pre_rank,top_prediction_item_name,critiqued_keyphrase,keyphrase_name,post_rank0,post_rank1,post_rank2,post_rank3,post_rank4,post_rank5,post_rank6,post_rank7,post_rank8,num_existing_keyphrases,post_rank
0,300,101,b'Cabin Fever',0,3311,b'Khao San Road',153,friendly,2484,3494,2607,4389,2973,3391,3502,3242,3582,10,"[2484, 3494, 2607, 4389, 2973, 3391, 3502, 3242, 3582]"
1,300,101,b'Cabin Fever',1,3311,b'Khao San Road',53,tea,3436,3432,2885,3496,3485,3565,3534,3524,3510,10,"[3436, 3432, 2885, 3496, 3485, 3565, 3534, 3524, 3510]"
2,300,101,b'Cabin Fever',2,3311,b'Khao San Road',105,latte,2831,2835,2827,2822,2812,2822,2907,2903,2907,10,"[2831, 2835, 2827, 2822, 2812, 2822, 2907, 2903, 2907]"
3,300,101,b'Cabin Fever',3,3311,b'Khao San Road',174,cozy,2781,2780,2795,2794,2790,2797,2812,2835,2223,10,"[2781, 2780, 2795, 2794, 2790, 2797, 2812, 2835, 2223]"
4,300,101,b'Cabin Fever',4,3311,b'Khao San Road',136,store,3016,3028,2417,3017,3106,3070,2086,3039,3029,10,"[3016, 3028, 2417, 3017, 3106, 3070, 2086, 3039, 3029]"
5,300,886,b'Wok & Roast Chinese BBQ',0,755,b'Khao San Road',27,bbq,286,285,278,287,304,182,164,172,245,10,"[286, 285, 278, 287, 304, 182, 164, 172, 245]"
6,300,886,b'Wok & Roast Chinese BBQ',1,755,b'Khao San Road',0,chinese,249,256,394,294,260,207,184,269,263,10,"[249, 256, 394, 294, 260, 207, 184, 269, 263]"
7,300,886,b'Wok & Roast Chinese BBQ',2,755,b'Khao San Road',51,pork,763,781,804,883,350,340,447,396,385,10,"[763, 781, 804, 883, 350, 340, 447, 396, 385]"
8,300,886,b'Wok & Roast Chinese BBQ',3,755,b'Khao San Road',5,fried,927,836,696,641,619,623,457,494,520,10,"[927, 836, 696, 641, 619, 623, 457, 494, 520]"
9,300,886,b'Wok & Roast Chinese BBQ',4,755,b'Khao San Road',133,fried rice,15,11,10,20,19,24,61,101,110,10,"[15, 11, 10, 20, 19, 24, 61, 101, 110]"
10,300,968,b'Porter Airlines',0,574,b'Khao San Road',47,coffee,104,121,135,201,247,543,272,325,327,10,"[104, 121, 135, 201, 247, 543, 272, 325, 327]"
11,300,968,b'Porter Airlines',1,574,b'Khao San Road',26,downtown,130,136,100,89,161,122,118,213,244,10,"[130, 136, 100, 89, 161, 122, 118, 213, 244]"
12,300,968,b'Porter Airlines',2,574,b'Khao San Road',148,mall,3568,3019,2400,2408,1270,897,924,640,572,10,"[3568, 3019, 2400, 2408, 1270, 897, 924, 640, 572]"
13,300,968,b'Porter Airlines',3,574,b'Khao San Road',116,wine,95,70,72,76,94,134,167,254,278,10,"[95, 70, 72, 76, 94, 134, 167, 254, 278]"
14,300,968,b'Porter Airlines',4,574,b'Khao San Road',172,comfortable,194,307,320,346,361,315,239,265,345,10,"[194, 307, 320, 346, 361, 315, 239, 265, 345]"
15,300,1620,b'Megabus',0,3815,b'Khao San Road',172,comfortable,3145,3144,3938,3155,3144,3163,3194,3195,3263,10,"[3145, 3144, 3938, 3155, 3144, 3163, 3194, 3195, 3263]"
