,user_id,target_item,item_name,iter,pre_rank,top_prediction_item_name,critiqued_keyphrase,keyphrase_name,post_rank0,post_rank1,post_rank2,post_rank3,post_rank4,post_rank5,post_rank6,post_rank7,post_rank8,num_existing_keyphrases,post_rank
0,300,886,b'Wok & Roast Chinese BBQ',0,755,b'Khao San Road',48,burger,4140,4151,3059,2027,2197,2129,945,875,784,10,"[4140, 4151, 3059, 2027, 2197, 2129, 945, 875, 784]"
1,300,886,b'Wok & Roast Chinese BBQ',1,755,b'Khao San Road',59,ice cream,1555,1497,1404,1428,1511,1097,1024,906,837,10,"[1555, 1497, 1404, 1428, 1511, 1097, 1024, 906, 837]"
2,300,886,b'Wok & Roast Chinese BBQ',2,755,b'Khao San Road',27,bbq,847,830,815,811,873,445,424,473,795,10,"[847, 830, 815, 811, 873, 445, 424, 473, 795]"
3,300,886,b'Wok & Roast Chinese BBQ',3,755,b'Khao San Road',145,markham,3055,3047,3065,3720,3756,2032,1116,1044,865,10,"[3055, 3047, 3065, 3720, 3756, 2032, 1116, 1044, 865]"
4,300,886,b'Wok & Roast Chinese BBQ',4,755,b'Khao San Road',108,duck,3054,3083,3101,4303,1962,1916,2045,928,830,10,"[3054, 3083, 3101, 4303, 1962, 1916, 2045, 928, 830]"
5,300,968,b'Porter Airlines',0,574,b'Khao San Road',42,sandwich,797,794,818,866,607,588,686,623,586,10,"[797, 794, 818, 866, 607, 588, 686, 623, 586]"
6,300,968,b'Porter Airlines',1,574,b'Khao San Road',38,chocolate,534,581,620,694,311,443,547,614,600,10,"[534, 581, 620, 694, 311, 443, 547, 614, 600]"
7,300,968,b'Porter Airlines',2,574,b'Khao San Road',105,latte,319,254,255,533,501,492,550,548,559,10,"[319, 254, 255, 533, 501, 492, 550, 548, 559]"
8,300,968,b'Porter Airlines',3,574,b'Khao San Road',103,fruit,42,32,40,44,70,282,328,406,380,10,"[42, 32, 40, 44, 70, 282, 328, 406, 380]"
9,300,968,b'Porter Airlines',4,574,b'Khao San Road',143,station,116,125,100,108,146,146,204,356,365,10,"[116, 125, 100, 108, 146, 146, 204, 356, 365]"
10,303,38,b'Aoyama Sushi Restaurant',0,70,b'Gusto 101',136,store,3719,3233,3822,3795,2228,1760,298,131,68,23,"[3719, 3233, 3822, 3795, 2228, 1760, 298, 131, 68]"
11,303,38,b'Aoyama Sushi Restaurant',1,70,b'Gusto 101',44,sushi,25,26,30,36,46,58,44,69,71,23,"[25, 26, 30, 36, 46, 58, 44, 69, 71]"
12,303,38,b'Aoyama Sushi Restaurant',2,70,b'Gusto 101',0,chinese,654,674,808,492,731,229,284,158,166,23,"[654, 674, 808, 492, 731, 229, 284, 158, 166]"
13,303,38,b'Aoyama Sushi Restaurant',3,70,b'Gusto 101',28,japanese,62,44,40,43,57,51,58,69,70,23,"[62, 44, 40, 43, 57, 51, 58, 69, 70]"
14,303,38,b'Aoyama Sushi Restaurant',4,70,b'Gusto 101',23,asian,1414,1287,555,544,283,114,113,69,67,23,"[1414, 1287, 555, 544, 283, 114, 113, 69, 67]"
15,303,1199,"b""Ed's Real Scoop""",0,132,b'Gusto 101',136,store,50,66,68,56,42,33,53,47,91,14,"[50, 66, 68, 56, 42, 33, 53, 47, 91]"
16,303,1199,"b""Ed's Real Scoop""",1,132,b'Gusto 101',126,milk,1001,978,525,204,206,334,341,206,159,14,"[1001, 978, 525, 204, 206, 334, 341, 206, 159]"
17,303,1199,"b""Ed's Real Scoop""",2,132,b'Gusto 101',182,chip,108,176,160,156,93,98,112,62,69,14,"[108, 176, 160, 156, 93, 98, 112, 62, 69]"
18,303,1199,"b""Ed's Real Scoop""",3,132,b'Gusto 101',112,mango,719,477,735,679,697,347,274,258,204,14,"[719, 477, 735, 679, 697, 347, 274, 258, 204]"
19,303,1199,"b""Ed's Real Scoop""",4,132,b'Gusto 101',127,fried chicken,232,250,287,480,590,1087,381,354,331,14,"[232, 250, 287, 480, 590, 1087, 381, 354, 331]"
20,303,3368,b'Bonjour Brioche',0,152,b'Gusto 101',51,pork,273,268,276,264,212,102,73,77,85,16,"[273, 268, 276, 264, 212, 102, 73, 77, 85]"
21,303,3368,b'Bonjour Brioche',1,152,b'Gusto 101',136,store,95,120,125,94,93,64,54,64,167,16,"[95, 120, 125, 94, 93, 64, 54, 64, 167]"
22,303,3368,b'Bonjour Brioche',2,152,b'Gusto 101',0,chinese,248,215,173,160,181,55,51,50,62,16,"[248, 215, 173, 160, 181, 55, 51, 50, 62]"
23,303,3368,b'Bonjour Brioche',3,152,b'Gusto 101',28,japanese,802,502,480,475,398,158,114,96,91,16,"[802, 502, 480, 475, 398, 158, 114, 96, 91]"
