,user_id,target_item,item_name,iter,pre_rank,top_prediction_item_name,critiqued_keyphrase,keyphrase_name,post_rank0,post_rank1,post_rank2,post_rank3,post_rank4,post_rank5,post_rank6,post_rank7,post_rank8,num_existing_keyphrases,post_rank
0,300,886,b'Wok & Roast Chinese BBQ',0,755,b'Khao San Road',48,burger,2331,2329,2340,585,588,569,325,301,256,10,"[2331, 2329, 2340, 585, 588, 569, 325, 301, 256]"
1,300,886,b'Wok & Roast Chinese BBQ',1,755,b'Khao San Road',59,ice cream,523,505,473,477,471,409,389,342,311,10,"[523, 505, 473, 477, 471, 409, 389, 342, 311]"
2,300,886,b'Wok & Roast Chinese BBQ',2,755,b'Khao San Road',27,bbq,286,285,278,287,304,182,164,172,245,10,"[286, 285, 278, 287, 304, 182, 164, 172, 245]"
3,300,886,b'Wok & Roast Chinese BBQ',3,755,b'Khao San Road',145,markham,2298,2298,2297,2350,2321,510,323,264,179,10,"[2298, 2298, 2297, 2350, 2321, 510, 323, 264, 179]"
4,300,886,b'Wok & Roast Chinese BBQ',4,755,b'Khao San Road',108,duck,2235,2242,2239,2240,311,301,313,213,193,10,"[2235, 2242, 2239, 2240, 311, 301, 313, 213, 193]"
5,300,968,b'Porter Airlines',0,574,b'Khao San Road',42,sandwich,368,371,380,406,308,292,318,296,279,10,"[368, 371, 380, 406, 308, 292, 318, 296, 279]"
6,300,968,b'Porter Airlines',1,574,b'Khao San Road',38,chocolate,297,322,331,351,183,231,268,300,287,10,"[297, 322, 331, 351, 183, 231, 268, 300, 287]"
7,300,968,b'Porter Airlines',2,574,b'Khao San Road',105,latte,220,183,182,330,307,305,333,331,333,10,"[220, 183, 182, 330, 307, 305, 333, 331, 333]"
8,300,968,b'Porter Airlines',3,574,b'Khao San Road',103,fruit,24,16,20,24,36,148,170,199,185,10,"[24, 16, 20, 24, 36, 148, 170, 199, 185]"
9,300,968,b'Porter Airlines',4,574,b'Khao San Road',143,station,75,79,68,70,82,75,102,145,140,10,"[75, 79, 68, 70, 82, 75, 102, 145, 140]"
10,303,38,b'Aoyama Sushi Restaurant',0,70,b'Gusto 101',136,store,2951,2112,2978,2967,1066,901,187,89,49,23,"[2951, 2112, 2978, 2967, 1066, 901, 187, 89, 49]"
11,303,38,b'Aoyama Sushi Restaurant',1,70,b'Gusto 101',44,sushi,18,20,21,21,26,27,17,22,19,23,"[18, 20, 21, 21, 26, 27, 17, 22, 19]"
12,303,38,b'Aoyama Sushi Restaurant',2,70,b'Gusto 101',0,chinese,379,387,436,301,390,138,149,91,88,23,"[379, 387, 436, 301, 390, 138, 149, 91, 88]"
13,303,38,b'Aoyama Sushi Restaurant',3,70,b'Gusto 101',28,japanese,43,32,28,30,37,33,34,34,34,23,"[43, 32, 28, 30, 37, 33, 34, 34, 34]"
14,303,38,b'Aoyama Sushi Restaurant',4,70,b'Gusto 101',23,asian,530,484,293,289,172,73,78,48,50,23,"[530, 484, 293, 289, 172, 73, 78, 48, 50]"
15,303,1199,"b""Ed's Real Scoop""",0,132,b'Gusto 101',136,store,34,45,47,40,30,25,39,37,64,14,"[34, 45, 47, 40, 30, 25, 39, 37, 64]"
16,303,1199,"b""Ed's Real Scoop""",1,132,b'Gusto 101',126,milk,459,457,307,133,131,196,195,123,93,14,"[459, 457, 307, 133, 131, 196, 195, 123, 93]"
17,303,1199,"b""Ed's Real Scoop""",2,132,b'Gusto 101',182,chip,72,108,97,99,61,61,66,38,42,14,"[72, 108, 97, 99, 61, 61, 66, 38, 42]"
18,303,1199,"b""Ed's Real Scoop""",3,132,b'Gusto 101',112,mango,292,211,294,271,272,154,115,110,81,14,"[292, 211, 294, 271, 272, 154, 115, 110, 81]"
19,303,1199,"b""Ed's Real Scoop""",4,132,b'Gusto 101',127,fried chicken,98,108,119,160,176,245,120,114,117,14,"[98, 108, 119, 160, 176, 245, 120, 114, 117]"
20,303,3368,b'Bonjour Brioche',0,152,b'Gusto 101',51,pork,197,193,200,194,163,80,60,61,67,16,"[197, 193, 200, 194, 163, 80, 60, 61, 67]"
21,303,3368,b'Bonjour Brioche',1,152,b'Gusto 101',136,store,61,78,81,63,65,49,40,44,111,16,"[61, 78, 81, 63, 65, 49, 40, 44, 111]"
22,303,3368,b'Bonjour Brioche',2,152,b'Gusto 101',0,chinese,179,162,128,119,124,36,33,33,39,16,"[179, 162, 128, 119, 124, 36, 33, 33, 39]"
23,303,3368,b'Bonjour Brioche',3,152,b'Gusto 101',28,japanese,286,208,201,199,164,74,53,43,42,16,"[286, 208, 201, 199, 164, 74, 53, 43, 42]"
24,303,3368,b'Bonjour Brioche',4,152,b'Gusto 101',29,breakfast,20,27,21,18,29,23,42,44,65,16,"[20, 27, 21, 18, 29, 23, 42, 44, 65]"
