,user_id,target_item,item_name,iter,pre_rank,top_prediction_item_name,critiqued_keyphrase,keyphrase_name,post_rank0,post_rank1,post_rank2,post_rank3,post_rank4,post_rank5,post_rank6,post_rank7,post_rank8,num_existing_keyphrases,post_rank
0,300,886,b'Wok & Roast Chinese BBQ',0,755,b'Khao San Road',73,congee,4499,2024,1842,1076,939,816,765,780,774,10,"[4499, 2024, 1842, 1076, 939, 816, 765, 780, 774]"
1,300,886,b'Wok & Roast Chinese BBQ',1,755,b'Khao San Road',48,burger,4140,4151,3059,2027,2197,2129,945,875,784,10,"[4140, 4151, 3059, 2027, 2197, 2129, 945, 875, 784]"
2,300,886,b'Wok & Roast Chinese BBQ',2,755,b'Khao San Road',223,general tao,196,224,249,301,246,268,371,773,765,10,"[196, 224, 249, 301, 246, 268, 371, 773, 765]"
3,300,886,b'Wok & Roast Chinese BBQ',3,755,b'Khao San Road',145,markham,3055,3047,3065,3720,3756,2032,1116,1044,865,10,"[3055, 3047, 3065, 3720, 3756, 2032, 1116, 1044, 865]"
4,300,886,b'Wok & Roast Chinese BBQ',4,755,b'Khao San Road',115,lobster,929,858,769,688,662,522,600,632,740,10,"[929, 858, 769, 688, 662, 522, 600, 632, 740]"
5,300,968,b'Porter Airlines',0,574,b'Khao San Road',163,dog,165,175,143,203,273,272,368,566,569,10,"[165, 175, 143, 203, 273, 272, 368, 566, 569]"
6,300,968,b'Porter Airlines',1,574,b'Khao San Road',105,latte,319,254,255,533,501,492,550,548,559,10,"[319, 254, 255, 533, 501, 492, 550, 548, 559]"
7,300,968,b'Porter Airlines',2,574,b'Khao San Road',38,chocolate,534,581,620,694,311,443,547,614,600,10,"[534, 581, 620, 694, 311, 443, 547, 614, 600]"
8,300,968,b'Porter Airlines',3,574,b'Khao San Road',205,gelato,2510,3385,3220,3329,1889,738,430,387,372,10,"[2510, 3385, 3220, 3329, 1889, 738, 430, 387, 372]"
9,300,968,b'Porter Airlines',4,574,b'Khao San Road',42,sandwich,797,794,818,866,607,588,686,623,586,10,"[797, 794, 818, 866, 607, 588, 686, 623, 586]"
10,303,38,b'Aoyama Sushi Restaurant',0,70,b'Gusto 101',75,miso,83,84,144,157,102,100,102,66,94,23,"[83, 84, 144, 157, 102, 100, 102, 66, 94]"
11,303,38,b'Aoyama Sushi Restaurant',1,70,b'Gusto 101',23,asian,1414,1287,555,544,283,114,113,69,67,23,"[1414, 1287, 555, 544, 283, 114, 113, 69, 67]"
12,303,38,b'Aoyama Sushi Restaurant',2,70,b'Gusto 101',110,sashimi,7,6,6,6,8,11,20,38,48,23,"[7, 6, 6, 6, 8, 11, 20, 38, 48]"
13,303,38,b'Aoyama Sushi Restaurant',3,70,b'Gusto 101',0,chinese,654,674,808,492,731,229,284,158,166,23,"[654, 674, 808, 492, 731, 229, 284, 158, 166]"
14,303,38,b'Aoyama Sushi Restaurant',4,70,b'Gusto 101',161,cheaper,1433,602,524,495,424,417,391,169,97,23,"[1433, 602, 524, 495, 424, 417, 391, 169, 97]"
15,303,1199,"b""Ed's Real Scoop""",0,132,b'Gusto 101',71,cone,303,299,77,83,91,53,76,156,118,14,"[303, 299, 77, 83, 91, 53, 76, 156, 118]"
16,303,1199,"b""Ed's Real Scoop""",1,132,b'Gusto 101',186,traditional,4034,4033,4011,4003,1040,416,240,133,107,14,"[4034, 4033, 4011, 4003, 1040, 416, 240, 133, 107]"
17,303,1199,"b""Ed's Real Scoop""",2,132,b'Gusto 101',22,french,149,150,154,167,254,305,293,184,214,14,"[149, 150, 154, 167, 254, 305, 293, 184, 214]"
18,303,1199,"b""Ed's Real Scoop""",3,132,b'Gusto 101',126,milk,1001,978,525,204,206,334,341,206,159,14,"[1001, 978, 525, 204, 206, 334, 341, 206, 159]"
19,303,1199,"b""Ed's Real Scoop""",4,132,b'Gusto 101',190,smooth,1943,1661,662,595,93,93,79,88,94,14,"[1943, 1661, 662, 595, 93, 93, 79, 88, 94]"
20,303,3368,b'Bonjour Brioche',0,152,b'Gusto 101',161,cheaper,5,5,7,7,11,10,26,39,120,16,"[5, 5, 7, 7, 11, 10, 26, 39, 120]"
21,303,3368,b'Bonjour Brioche',1,152,b'Gusto 101',136,store,95,120,125,94,93,64,54,64,167,16,"[95, 120, 125, 94, 93, 64, 54, 64, 167]"
22,303,3368,b'Bonjour Brioche',2,152,b'Gusto 101',78,strawberry,1146,1213,1248,564,1077,996,573,235,208,16,"[1146, 1213, 1248, 564, 1077, 996, 573, 235, 208]"
23,303,3368,b'Bonjour Brioche',3,152,b'Gusto 101',67,croissant,8,9,10,9,16,23,32,47,72,16,"[8, 9, 10, 9, 16, 23, 32, 47, 72]"
24,303,3368,b'Bonjour Brioche',4,152,b'Gusto 101',189,fluffy,76,155,270,305,354,290,332,135,122,16,"[76, 155, 270, 305, 354, 290, 332, 135, 122]"
25,303,4432,b'Thor Espresso Bar',0,1404,b'Gusto 101',190,smooth,179,175,185,111,88,138,240,285,490,8,"[179, 175, 185, 111, 88, 138, 240, 285, 490]"
26,303,4432,b'Thor Espresso Bar',1,1404,b'Gusto 101',18,bakery,7382,7385,7440,2573,2345,1164,1086,1054,973,8,"[7382, 7385, 7440, 2573, 2345, 1164, 1086, 1054, 973]"
27,303,4432,b'Thor Espresso Bar',2,1404,b'Gusto 101',29,breakfast,5126,1727,1595,1443,736,628,540,610,680,8,"[5126, 1727, 1595, 1443, 736, 628, 540, 610, 680]"
28,303,4432,b'Thor Espresso Bar',3,1404,b'Gusto 101',126,milk,500,1020,1162,492,602,427,428,569,970,8,"[500, 1020, 1162, 492, 602, 427, 428, 569, 970]"
29,303,4432,b'Thor Espresso Bar',4,1404,b'Gusto 101',220,lactose intolerant,792,840,456,71,78,111,155,398,948,8,"[792, 840, 456, 71, 78, 111, 155, 398, 948]"
30,303,5659,"b""Mildred's Temple Kitchen""",0,37,b'Gusto 101',51,pork,30,21,16,12,14,16,18,32,29,33,"[30, 21, 16, 12, 14, 16, 18, 32, 29]"
31,303,5659,"b""Mildred's Temple Kitchen""",1,37,b'Gusto 101',163,dog,27,17,11,7,7,18,23,32,67,33,"[27, 17, 11, 7, 7, 18, 23, 32, 67]"
32,303,5659,"b""Mildred's Temple Kitchen""",2,37,b'Gusto 101',126,milk,33,21,19,25,21,33,23,31,34,33,"[33, 21, 19, 25, 21, 33, 23, 31, 34]"
33,303,5659,"b""Mildred's Temple Kitchen""",3,37,b'Gusto 101',112,mango,131,108,74,62,71,34,47,58,37,33,"[131, 108, 74, 62, 71, 34, 47, 58, 37]"
34,303,5659,"b""Mildred's Temple Kitchen""",4,37,b'Gusto 101',76,lettuce,184,189,66,28,32,25,34,33,34,33,"[184, 189, 66, 28, 32, 25, 34, 33, 34]"
35,303,6023,b'The Oxley',0,338,b'Gusto 101',147,market,4543,950,1209,742,461,487,322,429,398,14,"[4543, 950, 1209, 742, 461, 487, 322, 429, 398]"
36,303,6023,b'The Oxley',1,338,b'Gusto 101',82,booth,4364,4368,4375,4388,4339,1309,558,370,330,14,"[4364, 4368, 4375, 4388, 4339, 1309, 558, 370, 330]"
