,user_id,target_item,item_name,pre_rank,top_prediction_item_name,critiqued_keyphrase,keyphrase_name,post_rank,num_existing_keyphrases
0,2,75,b'Stout Irish Pub',86,b'Golden Thai Restaurant',19,indian,9,11
1,2,75,b'Stout Irish Pub',86,b'Golden Thai Restaurant',137,shopping,15,11
2,2,75,b'Stout Irish Pub',86,b'Golden Thai Restaurant',83,calamari,16,11
3,2,75,b'Stout Irish Pub',86,b'Golden Thai Restaurant',191,frozen,260,11
4,2,75,b'Stout Irish Pub',86,b'Golden Thai Restaurant',82,booth,43,11
5,2,637,b'Edulis',16,b'Golden Thai Restaurant',86,sesame,7,13
6,2,637,b'Edulis',16,b'Golden Thai Restaurant',107,pancake,3,13
7,2,637,b'Edulis',16,b'Golden Thai Restaurant',60,squid,8,13
8,2,637,b'Edulis',16,b'Golden Thai Restaurant',189,fluffy,32,13
9,2,637,b'Edulis',16,b'Golden Thai Restaurant',84,kimchi,7,13
10,2,712,b'Dots Gift Boutique',212,b'Golden Thai Restaurant',99,bubble,840,6
11,2,712,b'Dots Gift Boutique',212,b'Golden Thai Restaurant',146,plaza,497,6
12,2,712,b'Dots Gift Boutique',212,b'Golden Thai Restaurant',145,markham,1020,6
13,2,712,b'Dots Gift Boutique',212,b'Golden Thai Restaurant',130,bubble tea,155,6
14,2,712,b'Dots Gift Boutique',212,b'Golden Thai Restaurant',13,vietnamese,286,6
15,2,1082,b'Kiku Japanese Cuisine',275,b'Golden Thai Restaurant',97,toast,153,10
16,2,1082,b'Kiku Japanese Cuisine',275,b'Golden Thai Restaurant',108,duck,249,10
17,2,1082,b'Kiku Japanese Cuisine',275,b'Golden Thai Restaurant',121,dumpling,733,10
18,2,1082,b'Kiku Japanese Cuisine',275,b'Golden Thai Restaurant',13,vietnamese,204,10
19,2,1082,b'Kiku Japanese Cuisine',275,b'Golden Thai Restaurant',146,plaza,79,10
20,2,1522,b'WestJet Stage',4,b'Golden Thai Restaurant',191,frozen,32,29
21,2,1522,b'WestJet Stage',4,b'Golden Thai Restaurant',86,sesame,0,29
22,2,1522,b'WestJet Stage',4,b'Golden Thai Restaurant',32,taco,32,29
23,2,1522,b'WestJet Stage',4,b'Golden Thai Restaurant',209,smoked,18,29
24,2,1522,b'WestJet Stage',4,b'Golden Thai Restaurant',220,lactose intolerant,102,29
25,2,3838,b'GoodLife Fitness',853,b'Golden Thai Restaurant',49,cheese,1191,20
26,2,3838,b'GoodLife Fitness',853,b'Golden Thai Restaurant',145,markham,78,20
27,2,3838,b'GoodLife Fitness',853,b'Golden Thai Restaurant',146,plaza,154,20
28,2,3838,b'GoodLife Fitness',853,b'Golden Thai Restaurant',38,chocolate,928,20
29,2,3838,b'GoodLife Fitness',853,b'Golden Thai Restaurant',102,cheesecake,348,20
30,154,297,b'Sunny Foodmart',3574,b'Ming Cuisine',38,chocolate,3478,17
31,154,297,b'Sunny Foodmart',3574,b'Ming Cuisine',22,french,3520,17
32,154,297,b'Sunny Foodmart',3574,b'Ming Cuisine',49,cheese,2041,17
33,154,297,b'Sunny Foodmart',3574,b'Ming Cuisine',83,calamari,3499,17
34,154,297,b'Sunny Foodmart',3574,b'Ming Cuisine',71,cone,3443,17
35,154,935,b'Love Me Sweet',156,b'Ming Cuisine',113,bacon,73,31
36,154,935,b'Love Me Sweet',156,b'Ming Cuisine',193,mayo,806,31
37,154,935,b'Love Me Sweet',156,b'Ming Cuisine',31,brunch,189,31
38,154,935,b'Love Me Sweet',156,b'Ming Cuisine',38,chocolate,21,31
39,154,935,b'Love Me Sweet',156,b'Ming Cuisine',82,booth,170,31
40,154,2836,b'GTA Photography Classes',2343,b'Ming Cuisine',123,steak,2390,12
41,154,2836,b'GTA Photography Classes',2343,b'Ming Cuisine',48,burger,2217,12
42,154,2836,b'GTA Photography Classes',2343,b'Ming Cuisine',82,booth,2465,12
43,154,2836,b'GTA Photography Classes',2343,b'Ming Cuisine',156,soggy,2739,12
44,154,2836,b'GTA Photography Classes',2343,b'Ming Cuisine',38,chocolate,1607,12
45,154,3813,b'Roywoods Ossington',133,b'Ming Cuisine',29,breakfast,327,26
46,154,3813,b'Roywoods Ossington',133,b'Ming Cuisine',97,toast,2180,26
47,154,3813,b'Roywoods Ossington',133,b'Ming Cuisine',107,pancake,596,26
48,154,3813,b'Roywoods Ossington',133,b'Ming Cuisine',82,booth,824,26
49,154,3813,b'Roywoods Ossington',133,b'Ming Cuisine',71,cone,563,26
50,154,4177,"b""Yogurty's Froyo""",715,b'Ming Cuisine',27,bbq,1544,13
51,154,4177,"b""Yogurty's Froyo""",715,b'Ming Cuisine',145,markham,6180,13
52,154,4177,"b""Yogurty's Froyo""",715,b'Ming Cuisine',156,soggy,989,13
53,154,4177,"b""Yogurty's Froyo""",715,b'Ming Cuisine',83,calamari,1475,13
54,154,4177,"b""Yogurty's Froyo""",715,b'Ming Cuisine',86,sesame,685,13
55,154,4221,b'Craft Beer Market',1158,b'Ming Cuisine',64,olive,354,8
56,154,4221,b'Craft Beer Market',1158,b'Ming Cuisine',66,octopus,1598,8
57,154,4221,b'Craft Beer Market',1158,b'Ming Cuisine',125,pasta,7204,8
58,154,4221,b'Craft Beer Market',1158,b'Ming Cuisine',49,cheese,7243,8
59,154,4221,b'Craft Beer Market',1158,b'Ming Cuisine',205,gelato,2708,8
60,154,5396,b'Step Up Massage & Rehab - Adelaide',4931,b'Ming Cuisine',38,chocolate,821,14
61,154,5396,b'Step Up Massage & Rehab - Adelaide',4931,b'Ming Cuisine',205,gelato,136,14
