,user_id,target_item,item_name,pre_rank,top_prediction_item_name,critiqued_keyphrase,keyphrase_name,post_rank,num_existing_keyphrases
0,300,101,b'Cabin Fever',3311,b'Khao San Road',155,refill,3397,3
1,300,101,b'Cabin Fever',3311,b'Khao San Road',136,store,4067,3
2,300,886,b'Wok & Roast Chinese BBQ',755,b'Khao San Road',142,window,828,20
3,300,886,b'Wok & Roast Chinese BBQ',755,b'Khao San Road',115,lobster,662,20
4,300,886,b'Wok & Roast Chinese BBQ',755,b'Khao San Road',73,congee,939,20
5,300,886,b'Wok & Roast Chinese BBQ',755,b'Khao San Road',135,parking,2733,20
6,300,886,b'Wok & Roast Chinese BBQ',755,b'Khao San Road',60,squid,1874,20
7,300,968,b'Porter Airlines',574,b'Khao San Road',47,coffee,355,24
8,300,968,b'Porter Airlines',574,b'Khao San Road',144,chair,794,24
9,300,968,b'Porter Airlines',574,b'Khao San Road',114,tomato,90,24
10,300,968,b'Porter Airlines',574,b'Khao San Road',143,station,146,24
11,300,968,b'Porter Airlines',574,b'Khao San Road',116,wine,113,24
12,303,38,b'Aoyama Sushi Restaurant',70,b'Gusto 101',28,japanese,57,43
13,303,38,b'Aoyama Sushi Restaurant',70,b'Gusto 101',115,lobster,209,43
14,303,38,b'Aoyama Sushi Restaurant',70,b'Gusto 101',106,matcha,212,43
15,303,38,b'Aoyama Sushi Restaurant',70,b'Gusto 101',232,north york,460,43
16,303,38,b'Aoyama Sushi Restaurant',70,b'Gusto 101',80,avocado,539,43
17,303,1199,"b""Ed's Real Scoop""",132,b'Gusto 101',97,toast,36,37
18,303,1199,"b""Ed's Real Scoop""",132,b'Gusto 101',79,apple,202,37
19,303,1199,"b""Ed's Real Scoop""",132,b'Gusto 101',190,smooth,93,37
20,303,1199,"b""Ed's Real Scoop""",132,b'Gusto 101',113,bacon,21,37
21,303,1199,"b""Ed's Real Scoop""",132,b'Gusto 101',136,store,42,37
22,303,3368,b'Bonjour Brioche',152,b'Gusto 101',209,smoked,55,50
23,303,3368,b'Bonjour Brioche',152,b'Gusto 101',156,soggy,62,50
24,303,3368,b'Bonjour Brioche',152,b'Gusto 101',47,coffee,78,50
25,303,3368,b'Bonjour Brioche',152,b'Gusto 101',18,bakery,80,50
26,303,3368,b'Bonjour Brioche',152,b'Gusto 101',216,baked,282,50
27,303,4432,b'Thor Espresso Bar',1404,b'Gusto 101',81,juice,418,22
28,303,4432,b'Thor Espresso Bar',1404,b'Gusto 101',63,donut,574,22
29,303,4432,b'Thor Espresso Bar',1404,b'Gusto 101',65,espresso,21,22
30,303,4432,b'Thor Espresso Bar',1404,b'Gusto 101',47,coffee,438,22
31,303,4432,b'Thor Espresso Bar',1404,b'Gusto 101',220,lactose intolerant,78,22
32,303,5659,"b""Mildred's Temple Kitchen""",37,b'Gusto 101',192,sweetness,80,80
