,user_id,target_item,item_name,pre_rank,top_prediction_item_name,critiqued_keyphrase,keyphrase_name,post_rank,num_existing_keyphrases
0,300,101,b'BarBurrito - Dufferin Mall',3311,b'Ming Cuisine',37,bread,2686,3
1,300,101,b'BarBurrito - Dufferin Mall',3311,b'Ming Cuisine',136,store,4067,3
2,300,886,"b""Ann's Congee""",755,b'Ming Cuisine',48,burger,2197,20
3,300,886,"b""Ann's Congee""",755,b'Ming Cuisine',60,squid,1874,20
4,300,886,"b""Ann's Congee""",755,b'Ming Cuisine',72,scallop,2166,20
5,300,886,"b""Ann's Congee""",755,b'Ming Cuisine',59,ice cream,1511,20
6,300,886,"b""Ann's Congee""",755,b'Ming Cuisine',81,juice,1587,20
7,300,968,"b""Better than Yia Yia's""",574,b'Ming Cuisine',42,sandwich,607,24
8,300,968,"b""Better than Yia Yia's""",574,b'Ming Cuisine',47,coffee,355,24
9,300,968,"b""Better than Yia Yia's""",574,b'Ming Cuisine',69,cookie,2310,24
10,300,968,"b""Better than Yia Yia's""",574,b'Ming Cuisine',161,cheaper,227,24
11,300,968,"b""Better than Yia Yia's""",574,b'Ming Cuisine',166,spacious,4101,24
12,303,38,b'Chatime North York',70,"b""Lazy Daisy's Cafe""",49,cheese,1423,43
13,303,38,b'Chatime North York',70,"b""Lazy Daisy's Cafe""",232,north york,460,43
14,303,38,b'Chatime North York',70,"b""Lazy Daisy's Cafe""",138,nail,146,43
15,303,38,b'Chatime North York',70,"b""Lazy Daisy's Cafe""",37,bread,433,43
16,303,38,b'Chatime North York',70,"b""Lazy Daisy's Cafe""",196,rare,94,43
17,303,1199,b'The Fifth Social Club',132,"b""Lazy Daisy's Cafe""",78,strawberry,3902,37
18,303,1199,b'The Fifth Social Club',132,"b""Lazy Daisy's Cafe""",22,french,254,37
19,303,1199,b'The Fifth Social Club',132,"b""Lazy Daisy's Cafe""",102,cheesecake,296,37
20,303,1199,b'The Fifth Social Club',132,"b""Lazy Daisy's Cafe""",142,window,519,37
21,303,1199,b'The Fifth Social Club',132,"b""Lazy Daisy's Cafe""",49,cheese,957,37
22,303,3368,b'O P Performance Centre',152,"b""Lazy Daisy's Cafe""",113,bacon,16,50
23,303,3368,b'O P Performance Centre',152,"b""Lazy Daisy's Cafe""",116,wine,97,50
24,303,3368,b'O P Performance Centre',152,"b""Lazy Daisy's Cafe""",79,apple,91,50
25,303,3368,b'O P Performance Centre',152,"b""Lazy Daisy's Cafe""",89,crepe,636,50
26,303,3368,b'O P Performance Centre',152,"b""Lazy Daisy's Cafe""",143,station,266,50
27,303,4432,b'JaBistro',1404,"b""Lazy Daisy's Cafe""",63,donut,574,22
28,303,4432,b'JaBistro',1404,"b""Lazy Daisy's Cafe""",144,chair,229,22
29,303,4432,b'JaBistro',1404,"b""Lazy Daisy's Cafe""",71,cone,48,22
30,303,4432,b'JaBistro',1404,"b""Lazy Daisy's Cafe""",142,window,160,22
31,303,4432,b'JaBistro',1404,"b""Lazy Daisy's Cafe""",18,bakery,2345,22
32,303,5659,b'Gautama',37,"b""Lazy Daisy's Cafe""",103,fruit,230,80
33,303,5659,b'Gautama',37,"b""Lazy Daisy's Cafe""",71,cone,36,80
34,303,5659,b'Gautama',37,"b""Lazy Daisy's Cafe""",200,crust,18,80
35,303,5659,b'Gautama',37,"b""Lazy Daisy's Cafe""",42,sandwich,82,80
36,303,5659,b'Gautama',37,"b""Lazy Daisy's Cafe""",107,pancake,0,80
37,303,6023,b'Le Code Nail Salon',338,"b""Lazy Daisy's Cafe""",19,indian,1680,34
38,303,6023,b'Le Code Nail Salon',338,"b""Lazy Daisy's Cafe""",113,bacon,7313,34
39,303,6023,b'Le Code Nail Salon',338,"b""Lazy Daisy's Cafe""",116,wine,295,34
40,303,6023,b'Le Code Nail Salon',338,"b""Lazy Daisy's Cafe""",81,juice,170,34
41,303,6023,b'Le Code Nail Salon',338,"b""Lazy Daisy's Cafe""",157,greeted,223,34
42,303,6990,b'Paintlounge',1543,"b""Lazy Daisy's Cafe""",140,movie,1623,42
43,303,6990,b'Paintlounge',1543,"b""Lazy Daisy's Cafe""",209,smoked,1616,42
44,303,6990,b'Paintlounge',1543,"b""Lazy Daisy's Cafe""",95,corn,945,42
45,303,6990,b'Paintlounge',1543,"b""Lazy Daisy's Cafe""",103,fruit,1665,42
46,303,6990,b'Paintlounge',1543,"b""Lazy Daisy's Cafe""",91,wrap,5195,42
47,304,1483,b'Mean Bao',503,b'Golden Thai Restaurant',191,frozen,621,4
48,304,1483,b'Mean Bao',503,b'Golden Thai Restaurant',19,indian,3238,4
49,304,1483,b'Mean Bao',503,b'Golden Thai Restaurant',136,store,1624,4
50,304,1985,b'Banh Mi Ba Le',141,b'Golden Thai Restaurant',171,fancy,100,37
51,304,1985,b'Banh Mi Ba Le',141,b'Golden Thai Restaurant',19,indian,375,37
52,304,1985,b'Banh Mi Ba Le',141,b'Golden Thai Restaurant',142,window,18,37
53,304,1985,b'Banh Mi Ba Le',141,b'Golden Thai Restaurant',221,dietary restriction,46,37
54,304,1985,b'Banh Mi Ba Le',141,b'Golden Thai Restaurant',211,seasoned,59,37
55,304,3158,b'Potbelly Sandwich Shop',496,b'Golden Thai Restaurant',232,north york,668,10
56,304,3158,b'Potbelly Sandwich Shop',496,b'Golden Thai Restaurant',62,tapioca,843,10
57,304,3158,b'Potbelly Sandwich Shop',496,b'Golden Thai Restaurant',99,bubble,699,10
58,304,3158,b'Potbelly Sandwich Shop',496,b'Golden Thai Restaurant',114,tomato,802,10
59,304,3158,b'Potbelly Sandwich Shop',496,b'Golden Thai Restaurant',130,bubble tea,293,10
60,304,4323,b'Yonge Eglinton Dental Centre',57,b'Golden Thai Restaurant',156,soggy,33,37
61,304,4323,b'Yonge Eglinton Dental Centre',57,b'Golden Thai Restaurant',68,banana,305,37
62,304,4323,b'Yonge Eglinton Dental Centre',57,b'Golden Thai Restaurant',106,matcha,23,37
63,304,4323,b'Yonge Eglinton Dental Centre',57,b'Golden Thai Restaurant',192,sweetness,64,37
64,304,4323,b'Yonge Eglinton Dental Centre',57,b'Golden Thai Restaurant',49,cheese,18,37
65,304,5081,b'Sporting Life',83,b'Golden Thai Restaurant',95,corn,63,53
66,304,5081,b'Sporting Life',83,b'Golden Thai Restaurant',221,dietary restriction,18,53
67,304,5081,b'Sporting Life',83,b'Golden Thai Restaurant',103,fruit,121,53
68,304,5081,b'Sporting Life',83,b'Golden Thai Restaurant',196,rare,631,53
69,304,5081,b'Sporting Life',83,b'Golden Thai Restaurant',23,asian,1,53
70,305,39,b'Sansotei',78,b'Sweetgrass Spa',69,cookie,142,31
71,305,39,b'Sansotei',78,b'Sweetgrass Spa',128,milk tea,20,31
72,305,39,b'Sansotei',78,b'Sweetgrass Spa',170,disappointing,117,31
73,305,39,b'Sansotei',78,b'Sweetgrass Spa',136,store,2787,31
74,305,39,b'Sansotei',78,b'Sweetgrass Spa',192,sweetness,57,31
75,305,1890,b'Star Lobster Seafood Market',4446,b'Sweetgrass Spa',170,disappointing,4424,20
76,305,1890,b'Star Lobster Seafood Market',4446,b'Sweetgrass Spa',38,chocolate,541,20
77,305,1890,b'Star Lobster Seafood Market',4446,b'Sweetgrass Spa',47,coffee,1608,20
78,305,1890,b'Star Lobster Seafood Market',4446,b'Sweetgrass Spa',157,greeted,1682,20
79,305,1890,b'Star Lobster Seafood Market',4446,b'Sweetgrass Spa',171,fancy,3947,20
80,305,1985,b'Banh Mi Ba Le',265,b'Sweetgrass Spa',136,store,482,37
81,305,1985,b'Banh Mi Ba Le',265,b'Sweetgrass Spa',79,apple,139,37
82,305,1985,b'Banh Mi Ba Le',265,b'Sweetgrass Spa',192,sweetness,36,37
83,305,1985,b'Banh Mi Ba Le',265,b'Sweetgrass Spa',135,parking,373,37
84,305,1985,b'Banh Mi Ba Le',265,b'Sweetgrass Spa',176,tax,75,37
85,305,2589,b'Penny Arcade Vintage',1384,b'Sweetgrass Spa',42,sandwich,2973,47
86,305,2589,b'Penny Arcade Vintage',1384,b'Sweetgrass Spa',70,honey,241,47
87,305,2589,b'Penny Arcade Vintage',1384,b'Sweetgrass Spa',79,apple,2045,47
88,305,2589,b'Penny Arcade Vintage',1384,b'Sweetgrass Spa',76,lettuce,279,47
89,305,2589,b'Penny Arcade Vintage',1384,b'Sweetgrass Spa',39,ramen,422,47
90,305,2780,b'Calii Love',267,b'Sweetgrass Spa',103,fruit,192,24
91,305,2780,b'Calii Love',267,b'Sweetgrass Spa',130,bubble tea,531,24
92,305,2780,b'Calii Love',267,b'Sweetgrass Spa',49,cheese,763,24
93,305,2780,b'Calii Love',267,b'Sweetgrass Spa',135,parking,239,24
94,305,2780,b'Calii Love',267,b'Sweetgrass Spa',99,bubble,163,24
95,305,3598,b'Escape to Charters',347,b'Sweetgrass Spa',144,chair,356,35
96,305,3598,b'Escape to Charters',347,b'Sweetgrass Spa',86,sesame,127,35
97,305,3598,b'Escape to Charters',347,b'Sweetgrass Spa',68,banana,6491,35
98,305,3598,b'Escape to Charters',347,b'Sweetgrass Spa',191,frozen,1759,35
99,305,3598,b'Escape to Charters',347,b'Sweetgrass Spa',38,chocolate,1593,35
100,305,3850,b'Cirque-ability',1732,b'Sweetgrass Spa',82,booth,6008,17
101,305,3850,b'Cirque-ability',1732,b'Sweetgrass Spa',167,pleasant,5991,17
102,305,3850,b'Cirque-ability',1732,b'Sweetgrass Spa',158,bright,1004,17
103,305,3850,b'Cirque-ability',1732,b'Sweetgrass Spa',136,store,503,17
104,305,3850,b'Cirque-ability',1732,b'Sweetgrass Spa',70,honey,1990,17
105,305,4238,b'Sushi Bong',7097,b'Sweetgrass Spa',27,bbq,7061,12
106,305,4238,b'Sushi Bong',7097,b'Sweetgrass Spa',128,milk tea,6147,12
107,305,4238,b'Sushi Bong',7097,b'Sweetgrass Spa',83,calamari,7193,12
108,305,4238,b'Sushi Bong',7097,b'Sweetgrass Spa',91,wrap,7206,12
109,305,4238,b'Sushi Bong',7097,b'Sweetgrass Spa',39,ramen,7188,12
110,305,4299,b'Banh Mi Ba Le',1897,b'Sweetgrass Spa',156,soggy,7219,4
111,305,4299,b'Banh Mi Ba Le',1897,b'Sweetgrass Spa',70,honey,1575,4
112,305,4299,b'Banh Mi Ba Le',1897,b'Sweetgrass Spa',38,chocolate,7228,4
113,305,4772,b'Banh Mi Ba Le',370,b'Sweetgrass Spa',190,smooth,1071,31
114,305,4772,b'Banh Mi Ba Le',370,b'Sweetgrass Spa',72,scallop,332,31
115,305,4772,b'Banh Mi Ba Le',370,b'Sweetgrass Spa',136,store,6844,31
116,305,4772,b'Banh Mi Ba Le',370,b'Sweetgrass Spa',86,sesame,615,31
