,user_id,target_item,item_name,iter,pre_rank,top_prediction_item_name,critiqued_keyphrase,keyphrase_name,post_rank,num_existing_keyphrases
0,2,75,b'Salad King Restaurant',0,86,b'Pai Northern Thai Kitchen',50,salad,2,10
1,2,75,b'Salad King Restaurant',1,86,b'Pai Northern Thai Kitchen',54,noodle,89,10
2,2,75,b'Salad King Restaurant',2,86,b'Pai Northern Thai Kitchen',1,fast,13,10
3,2,75,b'Salad King Restaurant',3,86,b'Pai Northern Thai Kitchen',199,chili,15,10
4,2,75,b'Salad King Restaurant',4,86,b'Pai Northern Thai Kitchen',133,fried rice,11,10
5,2,637,b'Daldongnae',0,16,b'Pai Northern Thai Kitchen',95,corn,4,10
6,2,637,b'Daldongnae',1,16,b'Pai Northern Thai Kitchen',55,meat,12,10
7,2,637,b'Daldongnae',2,16,b'Pai Northern Thai Kitchen',27,bbq,1,10
8,2,637,b'Daldongnae',3,16,b'Pai Northern Thai Kitchen',49,cheese,1,10
9,2,637,b'Daldongnae',4,16,b'Pai Northern Thai Kitchen',51,pork,13,10
10,2,648,b'Yunnan Steamed Fish Pot',0,2873,b'Pai Northern Thai Kitchen',46,fish,2270,10
11,2,648,b'Yunnan Steamed Fish Pot',1,2873,b'Pai Northern Thai Kitchen',202,steamed,2749,10
12,2,648,b'Yunnan Steamed Fish Pot',2,2873,b'Pai Northern Thai Kitchen',53,tea,1207,10
13,2,648,b'Yunnan Steamed Fish Pot',3,2873,b'Pai Northern Thai Kitchen',152,fresh,3212,10
14,2,648,b'Yunnan Steamed Fish Pot',4,2873,b'Pai Northern Thai Kitchen',148,mall,1176,10
15,2,712,b'Pho Viet Xpress',0,212,b'Pai Northern Thai Kitchen',150,clean,1401,10
16,2,712,b'Pho Viet Xpress',1,212,b'Pai Northern Thai Kitchen',9,soup,241,10
17,2,712,b'Pho Viet Xpress',2,212,b'Pai Northern Thai Kitchen',55,meat,56,10
18,2,712,b'Pho Viet Xpress',3,212,b'Pai Northern Thai Kitchen',54,noodle,128,10
19,2,712,b'Pho Viet Xpress',4,212,b'Pai Northern Thai Kitchen',13,vietnamese,286,10
20,2,1082,b'Kub Khao Thai Eatery',0,275,b'Pai Northern Thai Kitchen',143,station,414,10
21,2,1082,b'Kub Khao Thai Eatery',1,275,b'Pai Northern Thai Kitchen',146,plaza,79,10
22,2,1082,b'Kub Khao Thai Eatery',2,275,b'Pai Northern Thai Kitchen',50,salad,1908,10
23,2,1082,b'Kub Khao Thai Eatery',3,275,b'Pai Northern Thai Kitchen',8,lunch,922,10
24,2,1082,b'Kub Khao Thai Eatery',4,275,b'Pai Northern Thai Kitchen',56,chicken,112,10
25,2,1254,b'Chung King Garden Restaurant',0,4045,b'Pai Northern Thai Kitchen',108,duck,3524,10
26,2,1254,b'Chung King Garden Restaurant',1,4045,b'Pai Northern Thai Kitchen',35,crispy,1671,10
27,2,1254,b'Chung King Garden Restaurant',2,4045,b'Pai Northern Thai Kitchen',52,beef,3671,10
