,user_id,target_item,item_name,iter,pre_rank,top_prediction_item_name,critiqued_keyphrase,keyphrase_name,post_rank0,post_rank1,post_rank2,post_rank3,post_rank4,post_rank5,post_rank6,post_rank7,post_rank8,post_rank9,post_rank10,num_existing_keyphrases,post_rank
0,300,886,b'Wok & Roast Chinese BBQ',0,755,b'Khao San Road',48,burger,2975,4140,4151,3059,2027,2197,2129,945,875,784,755,10,"[2975, 4140, 4151, 3059, 2027, 2197, 2129, 945, 875, 784, 755]"
1,300,886,b'Wok & Roast Chinese BBQ',1,755,b'Khao San Road',59,ice cream,2936,1555,1497,1404,1428,1511,1097,1024,906,837,755,10,"[2936, 1555, 1497, 1404, 1428, 1511, 1097, 1024, 906, 837, 755]"
2,300,886,b'Wok & Roast Chinese BBQ',2,755,b'Khao San Road',27,bbq,866,847,830,815,811,873,445,424,473,795,755,10,"[866, 847, 830, 815, 811, 873, 445, 424, 473, 795, 755]"
3,300,886,b'Wok & Roast Chinese BBQ',3,755,b'Khao San Road',145,markham,3023,3055,3047,3065,3720,3756,2032,1116,1044,865,755,10,"[3023, 3055, 3047, 3065, 3720, 3756, 2032, 1116, 1044, 865, 755]"
4,300,886,b'Wok & Roast Chinese BBQ',4,755,b'Khao San Road',108,duck,3098,3054,3083,3101,4303,1962,1916,2045,928,830,755,10,"[3098, 3054, 3083, 3101, 4303, 1962, 1916, 2045, 928, 830, 755]"
5,300,968,b'Porter Airlines',0,574,b'Khao San Road',42,sandwich,393,797,794,818,866,607,588,686,623,586,574,10,"[393, 797, 794, 818, 866, 607, 588, 686, 623, 586, 574]"
6,300,968,b'Porter Airlines',1,574,b'Khao San Road',38,chocolate,498,534,581,620,694,311,443,547,614,600,574,10,"[498, 534, 581, 620, 694, 311, 443, 547, 614, 600, 574]"
7,300,968,b'Porter Airlines',2,574,b'Khao San Road',105,latte,320,319,254,255,533,501,492,550,548,559,574,10,"[320, 319, 254, 255, 533, 501, 492, 550, 548, 559, 574]"
8,300,968,b'Porter Airlines',3,574,b'Khao San Road',103,fruit,40,42,32,40,44,70,282,328,406,380,574,10,"[40, 42, 32, 40, 44, 70, 282, 328, 406, 380, 574]"
9,300,968,b'Porter Airlines',4,574,b'Khao San Road',143,station,115,116,125,100,108,146,146,204,356,365,574,10,"[115, 116, 125, 100, 108, 146, 146, 204, 356, 365, 574]"
10,303,38,b'Aoyama Sushi Restaurant',0,70,b'Gusto 101',136,store,3276,3719,3233,3822,3795,2228,1760,298,131,68,70,23,"[3276, 3719, 3233, 3822, 3795, 2228, 1760, 298, 131, 68, 70]"
11,303,38,b'Aoyama Sushi Restaurant',1,70,b'Gusto 101',44,sushi,28,25,26,30,36,46,58,44,69,71,70,23,"[28, 25, 26, 30, 36, 46, 58, 44, 69, 71, 70]"
12,303,38,b'Aoyama Sushi Restaurant',2,70,b'Gusto 101',0,chinese,643,654,674,808,492,731,229,284,158,166,70,23,"[643, 654, 674, 808, 492, 731, 229, 284, 158, 166, 70]"
13,303,38,b'Aoyama Sushi Restaurant',3,70,b'Gusto 101',28,japanese,77,62,44,40,43,57,51,58,69,70,70,23,"[77, 62, 44, 40, 43, 57, 51, 58, 69, 70, 70]"
14,303,38,b'Aoyama Sushi Restaurant',4,70,b'Gusto 101',23,asian,1508,1414,1287,555,544,283,114,113,69,67,70,23,"[1508, 1414, 1287, 555, 544, 283, 114, 113, 69, 67, 70]"
15,303,1199,"b""Ed's Real Scoop""",0,132,b'Gusto 101',136,store,55,50,66,68,56,42,33,53,47,91,132,14,"[55, 50, 66, 68, 56, 42, 33, 53, 47, 91, 132]"
16,303,1199,"b""Ed's Real Scoop""",1,132,b'Gusto 101',126,milk,1050,1001,978,525,204,206,334,341,206,159,132,14,"[1050, 1001, 978, 525, 204, 206, 334, 341, 206, 159, 132]"
17,303,1199,"b""Ed's Real Scoop""",2,132,b'Gusto 101',182,chip,105,108,176,160,156,93,98,112,62,69,132,14,"[105, 108, 176, 160, 156, 93, 98, 112, 62, 69, 132]"
18,303,1199,"b""Ed's Real Scoop""",3,132,b'Gusto 101',112,mango,729,719,477,735,679,697,347,274,258,204,132,14,"[729, 719, 477, 735, 679, 697, 347, 274, 258, 204, 132]"
19,303,1199,"b""Ed's Real Scoop""",4,132,b'Gusto 101',127,fried chicken,218,232,250,287,480,590,1087,381,354,331,132,14,"[218, 232, 250, 287, 480, 590, 1087, 381, 354, 331, 132]"
20,303,3368,b'Bonjour Brioche',0,152,b'Gusto 101',51,pork,266,273,268,276,264,212,102,73,77,85,152,16,"[266, 273, 268, 276, 264, 212, 102, 73, 77, 85, 152]"
21,303,3368,b'Bonjour Brioche',1,152,b'Gusto 101',136,store,101,95,120,125,94,93,64,54,64,167,152,16,"[101, 95, 120, 125, 94, 93, 64, 54, 64, 167, 152]"
22,303,3368,b'Bonjour Brioche',2,152,b'Gusto 101',0,chinese,311,248,215,173,160,181,55,51,50,62,152,16,"[311, 248, 215, 173, 160, 181, 55, 51, 50, 62, 152]"
23,303,3368,b'Bonjour Brioche',3,152,b'Gusto 101',28,japanese,793,802,502,480,475,398,158,114,96,91,152,16,"[793, 802, 502, 480, 475, 398, 158, 114, 96, 91, 152]"
24,303,3368,b'Bonjour Brioche',4,152,b'Gusto 101',29,breakfast,38,34,41,30,27,55,51,103,118,202,152,16,"[38, 34, 41, 30, 27, 55, 51, 103, 118, 202, 152]"
25,303,4432,b'Thor Espresso Bar',0,1404,b'Gusto 101',126,milk,494,500,1020,1162,492,602,427,428,569,970,1404,8,"[494, 500, 1020, 1162, 492, 602, 427, 428, 569, 970, 1404]"
26,303,4432,b'Thor Espresso Bar',1,1404,b'Gusto 101',29,breakfast,5111,5126,1727,1595,1443,736,628,540,610,680,1404,8,"[5111, 5126, 1727, 1595, 1443, 736, 628, 540, 610, 680, 1404]"
27,303,4432,b'Thor Espresso Bar',2,1404,b'Gusto 101',147,market,2216,2270,2210,1517,948,867,1051,998,986,963,1404,8,"[2216, 2270, 2210, 1517, 948, 867, 1051, 998, 986, 963, 1404]"
28,303,4432,b'Thor Espresso Bar',3,1404,b'Gusto 101',190,smooth,122,179,175,185,111,88,138,240,285,490,1404,8,"[122, 179, 175, 185, 111, 88, 138, 240, 285, 490, 1404]"
29,303,4432,b'Thor Espresso Bar',4,1404,b'Gusto 101',18,bakery,7383,7382,7385,7440,2573,2345,1164,1086,1054,973,1404,8,"[7383, 7382, 7385, 7440, 2573, 2345, 1164, 1086, 1054, 973, 1404]"
30,303,5659,"b""Mildred's Temple Kitchen""",0,37,b'Gusto 101',51,pork,42,30,21,16,12,14,16,18,32,29,37,33,"[42, 30, 21, 16, 12, 14, 16, 18, 32, 29, 37]"
31,303,5659,"b""Mildred's Temple Kitchen""",1,37,b'Gusto 101',136,store,747,564,398,388,274,162,143,51,45,52,37,33,"[747, 564, 398, 388, 274, 162, 143, 51, 45, 52, 37]"
32,303,5659,"b""Mildred's Temple Kitchen""",2,37,b'Gusto 101',126,milk,32,33,21,19,25,21,33,23,31,34,37,33,"[32, 33, 21, 19, 25, 21, 33, 23, 31, 34, 37]"
33,303,5659,"b""Mildred's Temple Kitchen""",3,37,b'Gusto 101',33,curry,15,10,14,14,11,9,11,14,15,31,37,33,"[15, 10, 14, 14, 11, 9, 11, 14, 15, 31, 37]"
34,303,5659,"b""Mildred's Temple Kitchen""",4,37,b'Gusto 101',29,breakfast,9,8,11,10,13,10,22,33,46,46,37,33,"[9, 8, 11, 10, 13, 10, 22, 33, 46, 46, 37]"
35,303,6023,b'The Oxley',0,338,b'Gusto 101',136,store,4854,4908,4940,4975,4952,2137,903,433,368,345,338,14,"[4854, 4908, 4940, 4975, 4952, 2137, 903, 433, 368, 345, 338]"
36,303,6023,b'The Oxley',1,338,b'Gusto 101',182,chip,976,967,1032,1072,1135,1913,748,326,302,294,338,14,"[976, 967, 1032, 1072, 1135, 1913, 748, 326, 302, 294, 338]"
37,303,6023,b'The Oxley',2,338,b'Gusto 101',29,breakfast,5989,5608,5398,5446,1544,523,437,380,271,303,338,14,"[5989, 5608, 5398, 5446, 1544, 523, 437, 380, 271, 303, 338]"
38,303,6023,b'The Oxley',3,338,b'Gusto 101',147,market,4522,4543,950,1209,742,461,487,322,429,398,338,14,"[4522, 4543, 950, 1209, 742, 461, 487, 322, 429, 398, 338]"
39,303,6023,b'The Oxley',4,338,b'Gusto 101',121,dumpling,689,696,1770,1841,1154,1010,553,362,380,387,338,14,"[689, 696, 1770, 1841, 1154, 1010, 553, 362, 380, 387, 338]"
40,303,6990,b'Library Bar',0,1543,b'Gusto 101',136,store,2543,2591,1464,1414,1320,1241,1143,1129,2128,1692,1543,14,"[2543, 2591, 1464, 1414, 1320, 1241, 1143, 1129, 2128, 1692, 1543]"
