,user_id,target_item,item_name,iter,pre_rank,top_prediction_item_name,critiqued_keyphrase,keyphrase_name,post_rank0,post_rank1,post_rank2,post_rank3,post_rank4,post_rank5,post_rank6,post_rank7,post_rank8,post_rank9,post_rank10,num_existing_keyphrases,post_rank
0,300,886,b'Wok & Roast Chinese BBQ',0,755,b'Khao San Road',48,burger,2330,2331,2329,2340,585,588,569,325,301,256,241,10,"[2330, 2331, 2329, 2340, 585, 588, 569, 325, 301, 256, 241]"
1,300,886,b'Wok & Roast Chinese BBQ',1,755,b'Khao San Road',59,ice cream,2321,523,505,473,477,471,409,389,342,311,285,10,"[2321, 523, 505, 473, 477, 471, 409, 389, 342, 311, 285]"
2,300,886,b'Wok & Roast Chinese BBQ',2,755,b'Khao San Road',27,bbq,298,286,285,278,287,304,182,164,172,245,237,10,"[298, 286, 285, 278, 287, 304, 182, 164, 172, 245, 237]"
3,300,886,b'Wok & Roast Chinese BBQ',3,755,b'Khao San Road',145,markham,2295,2298,2298,2297,2350,2321,510,323,264,179,139,10,"[2295, 2298, 2298, 2297, 2350, 2321, 510, 323, 264, 179, 139]"
4,300,886,b'Wok & Roast Chinese BBQ',4,755,b'Khao San Road',108,duck,2234,2235,2242,2239,2240,311,301,313,213,193,171,10,"[2234, 2235, 2242, 2239, 2240, 311, 301, 313, 213, 193, 171]"
5,300,968,b'Porter Airlines',0,574,b'Khao San Road',42,sandwich,214,368,371,380,406,308,292,318,296,279,267,10,"[214, 368, 371, 380, 406, 308, 292, 318, 296, 279, 267]"
6,300,968,b'Porter Airlines',1,574,b'Khao San Road',38,chocolate,282,297,322,331,351,183,231,268,300,287,273,10,"[282, 297, 322, 331, 351, 183, 231, 268, 300, 287, 273]"
7,300,968,b'Porter Airlines',2,574,b'Khao San Road',105,latte,219,220,183,182,330,307,305,333,331,333,335,10,"[219, 220, 183, 182, 330, 307, 305, 333, 331, 333, 335]"
8,300,968,b'Porter Airlines',3,574,b'Khao San Road',103,fruit,23,24,16,20,24,36,148,170,199,185,255,10,"[23, 24, 16, 20, 24, 36, 148, 170, 199, 185, 255]"
9,300,968,b'Porter Airlines',4,574,b'Khao San Road',143,station,74,75,79,68,70,82,75,102,145,140,200,10,"[74, 75, 79, 68, 70, 82, 75, 102, 145, 140, 200]"
10,303,38,b'Aoyama Sushi Restaurant',0,70,b'Gusto 101',136,store,2939,2951,2112,2978,2967,1066,901,187,89,49,49,23,"[2939, 2951, 2112, 2978, 2967, 1066, 901, 187, 89, 49, 49]"
11,303,38,b'Aoyama Sushi Restaurant',1,70,b'Gusto 101',44,sushi,17,18,20,21,21,26,27,17,22,19,20,23,"[17, 18, 20, 21, 21, 26, 27, 17, 22, 19, 20]"
