,user_id,target_item,item_name,iter,pre_rank,top_prediction_item_name,critiqued_keyphrase,keyphrase_name,post_rank0,post_rank1,post_rank2,post_rank3,post_rank4,post_rank5,post_rank6,post_rank7,post_rank8,post_rank9,post_rank10,num_existing_keyphrases,post_rank
0,300,886,b'Wok & Roast Chinese BBQ',0,755,b'Khao San Road',48,burger,2330,2331,2329,2340,585,588,569,325,301,256,241,10,"[2330, 2331, 2329, 2340, 585, 588, 569, 325, 301, 256, 241]"
1,300,886,b'Wok & Roast Chinese BBQ',1,755,b'Khao San Road',108,duck,2234,2235,2242,2239,2240,311,301,313,213,193,171,10,"[2234, 2235, 2242, 2239, 2240, 311, 301, 313, 213, 193, 171]"
2,300,886,b'Wok & Roast Chinese BBQ',2,755,b'Khao San Road',115,lobster,247,239,226,207,190,187,151,144,139,152,145,10,"[247, 239, 226, 207, 190, 187, 151, 144, 139, 152, 145]"
3,300,886,b'Wok & Roast Chinese BBQ',3,755,b'Khao San Road',72,scallop,332,328,328,320,316,320,255,206,179,163,141,10,"[332, 328, 328, 320, 316, 320, 255, 206, 179, 163, 141]"
4,300,886,b'Wok & Roast Chinese BBQ',4,755,b'Khao San Road',27,bbq,298,286,285,278,287,304,182,164,172,245,237,10,"[298, 286, 285, 278, 287, 304, 182, 164, 172, 245, 237]"
5,300,968,b'Porter Airlines',0,574,b'Khao San Road',38,chocolate,282,297,322,331,351,183,231,268,300,287,273,10,"[282, 297, 322, 331, 351, 183, 231, 268, 300, 287, 273]"
6,300,968,b'Porter Airlines',1,574,b'Khao San Road',65,espresso,36,39,43,49,48,67,41,38,66,84,117,10,"[36, 39, 43, 49, 48, 67, 41, 38, 66, 84, 117]"
7,300,968,b'Porter Airlines',2,574,b'Khao San Road',143,station,74,75,79,68,70,82,75,102,145,140,200,10,"[74, 75, 79, 68, 70, 82, 75, 102, 145, 140, 200]"
8,300,968,b'Porter Airlines',3,574,b'Khao San Road',103,fruit,23,24,16,20,24,36,148,170,199,185,255,10,"[23, 24, 16, 20, 24, 36, 148, 170, 199, 185, 255]"
9,300,968,b'Porter Airlines',4,574,b'Khao San Road',105,latte,219,220,183,182,330,307,305,333,331,333,335,10,"[219, 220, 183, 182, 330, 307, 305, 333, 331, 333, 335]"
10,303,38,b'Aoyama Sushi Restaurant',0,70,b'Gusto 101',147,market,320,330,308,233,223,129,170,73,73,45,36,23,"[320, 330, 308, 233, 223, 129, 170, 73, 73, 45, 36]"
11,303,38,b'Aoyama Sushi Restaurant',1,70,b'Gusto 101',189,fluffy,358,351,231,224,200,198,81,109,80,52,38,23,"[358, 351, 231, 224, 200, 198, 81, 109, 80, 52, 38]"
12,303,38,b'Aoyama Sushi Restaurant',2,70,b'Gusto 101',61,tempura,84,82,81,59,56,40,17,14,16,18,18,23,"[84, 82, 81, 59, 56, 40, 17, 14, 16, 18, 18]"
13,303,38,b'Aoyama Sushi Restaurant',3,70,b'Gusto 101',193,mayo,264,128,60,52,52,38,47,40,55,57,39,23,"[264, 128, 60, 52, 52, 38, 47, 40, 55, 57, 39]"
14,303,38,b'Aoyama Sushi Restaurant',4,70,b'Gusto 101',23,asian,544,530,484,293,289,172,73,78,48,50,50,23,"[544, 530, 484, 293, 289, 172, 73, 78, 48, 50, 50]"
15,303,1199,"b""Ed's Real Scoop""",0,132,b'Gusto 101',136,store,36,34,45,47,40,30,25,39,37,64,88,14,"[36, 34, 45, 47, 40, 30, 25, 39, 37, 64, 88]"
16,303,1199,"b""Ed's Real Scoop""",1,132,b'Gusto 101',182,chip,69,72,108,97,99,61,61,66,38,42,74,14,"[69, 72, 108, 97, 99, 61, 61, 66, 38, 42, 74]"
17,303,1199,"b""Ed's Real Scoop""",2,132,b'Gusto 101',190,smooth,3528,670,621,355,335,73,74,59,64,68,93,14,"[3528, 670, 621, 355, 335, 73, 74, 59, 64, 68, 93]"
18,303,1199,"b""Ed's Real Scoop""",3,132,b'Gusto 101',94,coconut,318,324,3744,368,369,158,142,90,65,72,53,14,"[318, 324, 3744, 368, 369, 158, 142, 90, 65, 72, 53]"
19,303,1199,"b""Ed's Real Scoop""",4,132,b'Gusto 101',138,nail,3,2,2,2,2,4,35,32,39,35,24,14,"[3, 2, 2, 2, 2, 4, 35, 32, 39, 35, 24]"
20,303,3368,b'Bonjour Brioche',0,152,b'Gusto 101',29,breakfast,23,20,27,21,18,29,23,42,44,65,53,16,"[23, 20, 27, 21, 18, 29, 23, 42, 44, 65, 53]"
21,303,3368,b'Bonjour Brioche',1,152,b'Gusto 101',89,crepe,1024,152,140,137,133,94,66,37,15,12,22,16,"[1024, 152, 140, 137, 133, 94, 66, 37, 15, 12, 22]"
