,user_id,target_item,item_name,iter,pre_rank,top_prediction_item_name,critiqued_keyphrase,keyphrase_name,post_rank0,post_rank1,post_rank2,post_rank3,post_rank4,post_rank5,post_rank6,post_rank7,post_rank8,num_existing_keyphrases,post_rank
0,300,101,b'Cabin Fever',0,3311,b'Khao San Road',153,friendly,2756,4276,3473,3985,3601,3428,3859,3521,2943,10,"[2756, 4276, 3473, 3985, 3601, 3428, 3859, 3521, 2943]"
1,300,101,b'Cabin Fever',1,3311,b'Khao San Road',53,tea,3362,2761,3004,3831,3382,4354,4247,3429,3015,10,"[3362, 2761, 3004, 3831, 3382, 4354, 4247, 3429, 3015]"
2,300,101,b'Cabin Fever',2,3311,b'Khao San Road',105,latte,3471,2670,3457,3482,3465,3546,3115,2960,3536,10,"[3471, 2670, 3457, 3482, 3465, 3546, 3115, 2960, 3536]"
3,300,101,b'Cabin Fever',3,3311,b'Khao San Road',174,cozy,2553,2387,3398,2584,3479,2841,3027,3329,3174,10,"[2553, 2387, 3398, 2584, 3479, 2841, 3027, 3329, 3174]"
4,300,101,b'Cabin Fever',4,3311,b'Khao San Road',136,store,3824,2951,3275,3116,4067,4040,3519,3915,3542,10,"[3824, 2951, 3275, 3116, 4067, 4040, 3519, 3915, 3542]"
5,300,886,b'Wok & Roast Chinese BBQ',0,755,b'Khao San Road',27,bbq,847,830,815,811,873,445,424,473,795,10,"[847, 830, 815, 811, 873, 445, 424, 473, 795]"
6,300,886,b'Wok & Roast Chinese BBQ',1,755,b'Khao San Road',0,chinese,360,387,731,515,481,434,439,732,758,10,"[360, 387, 731, 515, 481, 434, 439, 732, 758]"
7,300,886,b'Wok & Roast Chinese BBQ',2,755,b'Khao San Road',51,pork,1672,1679,1798,2054,575,583,882,795,772,10,"[1672, 1679, 1798, 2054, 575, 583, 882, 795, 772]"
8,300,886,b'Wok & Roast Chinese BBQ',3,755,b'Khao San Road',5,fried,1629,1484,1173,990,936,976,690,747,787,10,"[1629, 1484, 1173, 990, 936, 976, 690, 747, 787]"
9,300,886,b'Wok & Roast Chinese BBQ',4,755,b'Khao San Road',133,fried rice,48,30,26,70,77,120,396,717,774,10,"[48, 30, 26, 70, 77, 120, 396, 717, 774]"
10,300,968,b'Porter Airlines',0,574,b'Khao San Road',47,coffee,124,146,165,272,355,998,451,612,640,10,"[124, 146, 165, 272, 355, 998, 451, 612, 640]"
11,300,968,b'Porter Airlines',1,574,b'Khao San Road',26,downtown,146,152,110,99,195,148,150,291,362,10,"[146, 152, 110, 99, 195, 148, 150, 291, 362]"
12,300,968,b'Porter Airlines',2,574,b'Khao San Road',148,mall,3367,3475,2738,2758,1350,935,963,660,589,10,"[3367, 3475, 2738, 2758, 1350, 935, 963, 660, 589]"
13,300,968,b'Porter Airlines',3,574,b'Khao San Road',116,wine,112,81,82,87,113,162,228,433,525,10,"[112, 81, 82, 87, 113, 162, 228, 433, 525]"
14,300,968,b'Porter Airlines',4,574,b'Khao San Road',172,comfortable,287,494,496,536,561,481,339,398,582,10,"[287, 494, 496, 536, 561, 481, 339, 398, 582]"
15,300,1620,b'Megabus',0,3815,b'Khao San Road',172,comfortable,3312,3809,3850,3449,3663,3502,4071,3740,3754,10,"[3312, 3809, 3850, 3449, 3663, 3502, 4071, 3740, 3754]"
16,300,1620,b'Megabus',1,3815,b'Khao San Road',162,immediately,3260,3723,3762,3740,3912,3961,3458,4198,3807,10,"[3260, 3723, 3762, 3740, 3912, 3961, 3458, 4198, 3807]"
17,300,1620,b'Megabus',2,3815,b'Khao San Road',150,clean,3256,4092,3852,3923,3967,4197,4193,3796,4090,10,"[3256, 4092, 3852, 3923, 3967, 4197, 4193, 3796, 4090]"
18,300,1620,b'Megabus',3,3815,b'Khao San Road',1,fast,857,889,954,1055,1374,1738,3615,3966,3800,10,"[857, 889, 954, 1055, 1374, 1738, 3615, 3966, 3800]"
19,300,1620,b'Megabus',4,3815,b'Khao San Road',213,pot,3716,3719,3710,3764,3638,4005,4157,3909,3671,10,"[3716, 3719, 3710, 3764, 3638, 4005, 4157, 3909, 3671]"
20,300,1898,b'416 Snack Bar',0,29,b'Khao San Road',127,fried chicken,783,1494,768,484,197,50,62,40,40,10,"[783, 1494, 768, 484, 197, 50, 62, 40, 40]"
21,300,1898,b'416 Snack Bar',1,29,b'Khao San Road',3,bar,24,11,10,11,13,12,17,18,24,10,"[24, 11, 10, 11, 13, 12, 17, 18, 24]"
22,300,1898,b'416 Snack Bar',2,29,b'Khao San Road',148,mall,1922,1466,609,535,479,229,69,48,35,10,"[1922, 1466, 609, 535, 479, 229, 69, 48, 35]"
23,300,1898,b'416 Snack Bar',3,29,b'Khao San Road',119,bun,78,66,48,24,28,40,43,40,38,10,"[78, 66, 48, 24, 28, 40, 43, 40, 38]"
24,300,1898,b'416 Snack Bar',4,29,b'Khao San Road',5,fried,537,269,82,42,51,29,18,18,27,10,"[537, 269, 82, 42, 51, 29, 18, 18, 27]"
25,300,2803,b'Harlem Underground',0,130,b'Khao San Road',118,waffle,498,509,496,516,133,90,116,139,132,10,"[498, 509, 496, 516, 133, 90, 116, 139, 132]"
26,300,2803,b'Harlem Underground',1,130,b'Khao San Road',56,chicken,815,780,719,493,227,121,194,205,198,10,"[815, 780, 719, 493, 227, 121, 194, 205, 198]"
27,300,2803,b'Harlem Underground',2,130,b'Khao San Road',5,fried,1595,1470,1220,610,219,207,224,182,182,10,"[1595, 1470, 1220, 610, 219, 207, 224, 182, 182]"
28,300,2803,b'Harlem Underground',3,130,b'Khao San Road',127,fried chicken,380,376,565,246,230,211,168,135,142,10,"[380, 376, 565, 246, 230, 211, 168, 135, 142]"
29,300,2803,b'Harlem Underground',4,130,b'Khao San Road',49,cheese,655,427,389,219,73,46,73,122,123,10,"[655, 427, 389, 219, 73, 46, 73, 122, 123]"
30,300,3822,b'On The Rocks',0,6368,b'Khao San Road',133,fried rice,6027,6030,6041,6299,6275,6360,6361,6382,6273,10,"[6027, 6030, 6041, 6299, 6275, 6360, 6361, 6382, 6273]"
31,300,3822,b'On The Rocks',1,6368,b'Khao San Road',0,chinese,5927,6293,6268,6356,6369,6355,6359,6357,6365,10,"[5927, 6293, 6268, 6356, 6369, 6355, 6359, 6357, 6365]"
32,300,3822,b'On The Rocks',2,6368,b'Khao San Road',41,beer,5939,5936,5918,6370,6257,6273,6277,6265,6268,10,"[5939, 5936, 5918, 6370, 6257, 6273, 6277, 6265, 6268]"
33,300,3822,b'On The Rocks',3,6368,b'Khao San Road',120,wing,6011,5940,6328,6364,6358,5643,5693,6321,6365,10,"[6011, 5940, 6328, 6364, 6358, 5643, 5693, 6321, 6365]"
34,300,3822,b'On The Rocks',4,6368,b'Khao San Road',5,fried,5931,5888,5893,5926,5985,6013,6285,6275,6278,10,"[5931, 5888, 5893, 5926, 5985, 6013, 6285, 6275, 6278]"
