,user_id,target_item,item_name,iter,pre_rank,top_prediction_item_name,critiqued_keyphrase,keyphrase_name,post_rank0,post_rank1,post_rank2,post_rank3,post_rank4,post_rank5,post_rank6,post_rank7,post_rank8,post_rank9,post_rank10,num_existing_keyphrases,post_rank
0,300,886,b'Wok & Roast Chinese BBQ',0,755,b'Khao San Road',223,general tao,755,765,773,371,268,246,301,249,224,196,176,10,"[755, 765, 773, 371, 268, 246, 301, 249, 224, 196, 176]"
1,300,886,b'Wok & Roast Chinese BBQ',1,755,b'Khao San Road',27,bbq,755,795,473,424,445,873,811,815,830,847,866,10,"[755, 795, 473, 424, 445, 873, 811, 815, 830, 847, 866]"
2,300,886,b'Wok & Roast Chinese BBQ',2,755,b'Khao San Road',60,squid,755,784,783,756,885,1874,2967,2934,2901,2919,2903,10,"[755, 784, 783, 756, 885, 1874, 2967, 2934, 2901, 2919, 2903]"
3,300,886,b'Wok & Roast Chinese BBQ',3,755,b'Khao San Road',73,congee,755,774,780,765,816,939,1076,1842,2024,4499,3288,10,"[755, 774, 780, 765, 816, 939, 1076, 1842, 2024, 4499, 3288]"
4,300,886,b'Wok & Roast Chinese BBQ',4,755,b'Khao San Road',72,scallop,755,819,906,944,1364,2166,2105,1946,1955,1933,1923,10,"[755, 819, 906, 944, 1364, 2166, 2105, 1946, 1955, 1933, 1923]"
5,300,886,b'Wok & Roast Chinese BBQ',5,755,b'Khao San Road',108,duck,755,830,928,2045,1916,1962,4303,3101,3083,3054,3098,10,"[755, 830, 928, 2045, 1916, 1962, 4303, 3101, 3083, 3054, 3098]"
6,300,886,b'Wok & Roast Chinese BBQ',6,755,b'Khao San Road',48,burger,755,784,875,945,2129,2197,2027,3059,4151,4140,2975,10,"[755, 784, 875, 945, 2129, 2197, 2027, 3059, 4151, 4140, 2975]"
7,300,886,b'Wok & Roast Chinese BBQ',7,755,b'Khao San Road',145,markham,755,865,1044,1116,2032,3756,3720,3065,3047,3055,3023,10,"[755, 865, 1044, 1116, 2032, 3756, 3720, 3065, 3047, 3055, 3023]"
8,300,886,b'Wok & Roast Chinese BBQ',8,755,b'Khao San Road',59,ice cream,755,837,906,1024,1097,1511,1428,1404,1497,1555,2936,10,"[755, 837, 906, 1024, 1097, 1511, 1428, 1404, 1497, 1555, 2936]"
9,300,968,b'Porter Airlines',0,574,b'Khao San Road',205,gelato,574,372,387,430,738,1889,3329,3220,3385,2510,3322,10,"[574, 372, 387, 430, 738, 1889, 3329, 3220, 3385, 2510, 3322]"
10,300,968,b'Porter Airlines',1,574,b'Khao San Road',163,dog,574,569,566,368,272,273,203,143,175,165,146,10,"[574, 569, 566, 368, 272, 273, 203, 143, 175, 165, 146]"
11,300,968,b'Porter Airlines',2,574,b'Khao San Road',105,latte,574,559,548,550,492,501,533,255,254,319,320,10,"[574, 559, 548, 550, 492, 501, 533, 255, 254, 319, 320]"
12,300,968,b'Porter Airlines',3,574,b'Khao San Road',42,sandwich,574,586,623,686,588,607,866,818,794,797,393,10,"[574, 586, 623, 686, 588, 607, 866, 818, 794, 797, 393]"
13,300,968,b'Porter Airlines',4,574,b'Khao San Road',38,chocolate,574,600,614,547,443,311,694,620,581,534,498,10,"[574, 600, 614, 547, 443, 311, 694, 620, 581, 534, 498]"
14,300,968,b'Porter Airlines',5,574,b'Khao San Road',69,cookie,574,403,416,470,1107,2310,2154,2094,3137,3141,3106,10,"[574, 403, 416, 470, 1107, 2310, 2154, 2094, 3137, 3141, 3106]"
15,300,968,b'Porter Airlines',6,574,b'Khao San Road',103,fruit,574,380,406,328,282,70,44,40,32,42,40,10,"[574, 380, 406, 328, 282, 70, 44, 40, 32, 42, 40]"
16,300,968,b'Porter Airlines',7,574,b'Khao San Road',65,espresso,574,407,281,136,113,154,94,105,84,75,71,10,"[574, 407, 281, 136, 113, 154, 94, 105, 84, 75, 71]"
17,300,968,b'Porter Airlines',8,574,b'Khao San Road',230,alcoholic beverage,574,625,383,436,439,420,256,263,155,133,133,10,"[574, 625, 383, 436, 439, 420, 256, 263, 155, 133, 133]"
