user_id,item_id,item_name,item_rank,item_score,iteration,critiqued_keyphrase,target_rank,num_existing_keyphrases,result,theta,critiqued_keyphrase_name,lambda
1.0,63.0,,,,0.0,,1.0,10.0,,,,
1.0,63.0,,3554.0,-0.057310759742469804,1.0,27.0,1.0,10.0,,,cocoa,[-1.0]
1.0,63.0,,3563.0,-0.059013936152557254,2.0,48.0,1.0,10.0,,,mocha,"[-1.0, 1.0]"
1.0,63.0,,3562.0,-0.05894618922104349,3.0,46.0,1.0,10.0,,,beige,"[-1.0, 1.0, -1.0]"
1.0,63.0,,3562.0,-0.05894618922104349,4.0,70.0,1.0,10.0,,,raspberry,"[-1.0, 1.0, -1.0, -1.0]"
1.0,63.0,,3530.0,-0.051388828949229304,5.0,59.0,1.0,10.0,,,mahogany,"[-1.0, 1.0, -1.0, -1.0, 1.0]"
1.0,63.0,,3577.0,-0.06768607439469967,6.0,8.0,1.0,10.0,,,coffee,"[-1.0, 1.0, -1.0, -1.0, 1.0, 1.0]"
1.0,63.0,,3577.0,-0.06768607439469967,7.0,49.0,1.0,10.0,,,khaki,"[-1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0]"
1.0,63.0,,3573.0,-0.06894850435239144,8.0,66.0,1.0,10.0,,,bourbon,"[-1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0]"
1.0,63.0,,3605.0,-0.0826182255373307,9.0,50.0,1.0,10.0,,,black,"[-1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0]"
1.0,63.0,,3482.0,-0.048658434440832676,10.0,6.0,1.0,10.0,fail,,chocolate,"[-1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0]"
1.0,69.0,,,,0.0,,1.0,17.0,,,chocolate,"[-1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0]"
1.0,69.0,,176,0.06471325820606658,1.0,65,1.0,17.0,,,banana,[1.0]
1.0,69.0,,180,0.06446421602306765,2.0,35,1.0,17.0,,,resin,"[1.0, -1.0]"
1.0,69.0,,180,0.06446421602306765,3.0,15,1.0,17.0,,,nutty,"[1.0, -1.0, -1.0]"
1.0,69.0,,181,0.06447581995308688,4.0,51,1.0,17.0,,,yellow,"[1.0, -1.0, -1.0, 1.0]"
1.0,69.0,,186,0.06339267900287583,5.0,9,1.0,17.0,,,wheat,"[1.0, -1.0, -1.0, 1.0, -1.0]"
1.0,69.0,,155,0.06631068870244357,6.0,31,1.0,17.0,,, pine ,"[1.0, -1.0, -1.0, 1.0, -1.0, 1.0]"
1.0,69.0,,155,0.06604823037743512,7.0,7,1.0,17.0,,,biscuit,"[1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0]"
1.0,69.0,,157,0.06588447268114082,8.0,45,1.0,17.0,,,gold,"[1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0]"
1.0,69.0,,158,0.06660888768175122,9.0,25,1.0,17.0,,, rye ,"[1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0]"
1.0,69.0,,158,0.06660888768175122,10.0,33,1.0,17.0,,,citric,"[1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0]"
1.0,69.0,,158,0.0668442235907602,11.0,32,1.0,17.0,,,herbal,"[1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0]"
1.0,69.0,,166,0.06251504250674694,12.0,66,1.0,17.0,,,bourbon,"[1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0]"
1.0,69.0,,145,0.07180517091348458,13.0,72,1.0,17.0,,,apricot,"[1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0]"
1.0,69.0,,149,0.06598551853574368,14.0,57,1.0,17.0,,,velvet,"[1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0]"
1.0,69.0,,142,0.07434555456559207,15.0,48,1.0,17.0,,,mocha,"[1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0]"
1.0,69.0,,146,0.06637589428477375,16.0,47,1.0,17.0,,,copper,"[1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0]"
1.0,69.0,,143,0.07459099718276219,17.0,49,1.0,17.0,fail,,khaki,"[1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0]"
1.0,139.0,,,,0.0,,1.0,7.0,,,khaki,"[1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0]"
1.0,139.0,,3598,-0.075838219656271,1.0,48,1.0,7.0,,,mocha,[1.0]
1.0,139.0,,3598,-0.075838219656271,2.0,27,1.0,7.0,,,cocoa,"[1.0, -1.0]"
1.0,139.0,,3598,-0.075838219656271,3.0,49,1.0,7.0,,,khaki,"[1.0, -1.0, -1.0]"
1.0,139.0,,3603,-0.07790389917637455,4.0,60,1.0,7.0,,,ruby,"[1.0, -1.0, -1.0, -1.0]"
1.0,139.0,,3607,-0.08177354399140242,5.0,59,1.0,7.0,,,mahogany,"[1.0, -1.0, -1.0, 1.0, 1.0]"
1.0,139.0,,3607,-0.08177354399140242,6.0,70,1.0,7.0,,,raspberry,"[1.0, -1.0, -1.0, 1.0, 1.0, -1.0]"
1.0,139.0,,3588,-0.06852398927356257,7.0,69,1.0,7.0,fail,,metallic,"[1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0]"
1.0,656.0,,,,0.0,,1.0,6.0,,,metallic,"[1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0]"
1.0,656.0,,3318,-0.02760956622243515,1.0,25,1.0,6.0,,, rye ,[1.0]
1.0,656.0,,3318,-0.02760956622243515,2.0,73,1.0,6.0,,,coriander,"[1.0, -1.0]"
