user_id,item_id,item_name,item_rank,item_score,iteration,critiqued_keyphrase,target_rank,num_existing_keyphrases,result,theta,critiqued_keyphrase_name,lambda
466.0,2257.0,,,,0.0,,1.0,1.0,,,,
466.0,2257.0,,1300.0,0.0035485069077162024,1.0,48.0,1.0,1.0,fail,,mocha,[-1.0]
466.0,3304.0,,,,0.0,,1.0,21.0,,,mocha,[-1.0]
466.0,3304.0,,888,0.006911017725662438,1.0,59,1.0,21.0,,,mahogany,[-1.0]
466.0,3304.0,,1008,0.005458803020037399,2.0,71,1.0,21.0,,,clove,"[-1.0, -1.0]"
466.0,3304.0,,1008,0.005458803020037399,3.0,61,1.0,21.0,,,tulip,"[-1.0, -1.0, -1.0]"
466.0,3304.0,,1008,0.005458803020037399,4.0,54,1.0,21.0,,,silk,"[-1.0, -1.0, -1.0, -1.0]"
466.0,3304.0,,1008,0.005458803020037399,5.0,62,1.0,21.0,,,cherry,"[-1.0, -1.0, -1.0, -1.0, -1.0]"
466.0,3304.0,,1008,0.005458803020037399,6.0,67,1.0,21.0,,,oak,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0]"
466.0,3304.0,,951,0.005968207030453415,7.0,73,1.0,21.0,,,coriander,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0]"
466.0,3304.0,,1047,0.004949399009621382,8.0,57,1.0,21.0,,,velvet,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]"
466.0,3304.0,,951,0.005968207030453415,9.0,25,1.0,21.0,,, rye ,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0]"
466.0,3304.0,,1047,0.004949399009621382,10.0,28,1.0,21.0,,,chew,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]"
466.0,3304.0,,949,0.005883563610067114,11.0,6,1.0,21.0,,,chocolate,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
466.0,3304.0,,1041,0.004864755589235083,12.0,23,1.0,21.0,,,molass,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0]"
466.0,3304.0,,890,0.006273293918123467,13.0,9,1.0,21.0,,,wheat,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0]"
466.0,3304.0,,1059,0.004777559168117914,14.0,8,1.0,21.0,,,coffee,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0]"
