user_id,item_id,item_name,item_rank,item_score,iteration,critiqued_keyphrase,target_rank,num_existing_keyphrases,result,theta,critiqued_keyphrase_name
0.0,1346.0,,,,0.0,,1.0,20.0,,,
0.0,1346.0,,2800.0,-0.00025162225167639886,1.0,1.0,1.0,20.0,,[1.0],rock
0.0,1346.0,,2882.0,-0.0002850470702268255,2.0,3.0,1.0,20.0,,"[1.0, 1.0]",metal
0.0,1346.0,,2967.0,-0.0004500634271489112,3.0,4.0,1.0,20.0,,"[1.0, 1.0, -1.0]",chorus
0.0,1346.0,,2895.0,-0.0003077211327763539,4.0,5.0,1.0,20.0,,"[1.0, 1.0, -1.0, 1.0]",pop
0.0,1346.0,,2715.0,0.00016342266819374435,5.0,7.0,1.0,20.0,,"[1.0, 1.0, -1.0, 1.0, -1.0]",indie
0.0,1346.0,,2944.0,-0.00013481621170091575,6.0,8.0,1.0,20.0,,"[1.0, 1.0, -1.0, 1.0, -1.0, -1.0]",classicrock
0.0,1346.0,,2631.0,0.0005555563772297756,7.0,9.0,1.0,20.0,,"[1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0]",hardrock
0.0,1346.0,,2732.0,6.048794481238514e-05,8.0,10.0,1.0,20.0,,"[1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0]",countrymusic
0.0,1346.0,,2414.0,0.0008627457425968883,9.0,11.0,1.0,20.0,,"[1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",folk
0.0,1346.0,,2568.0,0.000501645012432841,10.0,12.0,1.0,20.0,,"[1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0]",rap
0.0,1346.0,,2443.0,0.000766841221176148,11.0,15.0,1.0,20.0,,"[1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0]",christian
0.0,1346.0,,2602.0,0.0004020898829330923,12.0,16.0,1.0,20.0,,"[1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0]",gospel
