user_id,item_id,item_name,item_rank,item_score,iteration,critiqued_keyphrase,target_rank,num_existing_keyphrases,result,theta,critiqued_keyphrase_name
0.0,1346.0,,,,0.0,,1.0,12.0,,,
0.0,1346.0,,2879.0,-0.0020878244993030436,1.0,39.0,1.0,12.0,,"[1.0, 1.0]",bass
0.0,1346.0,,3060.0,-0.004561108175320306,2.0,0.0,1.0,12.0,,"[2.0, 2.0, 2.0]",r b
0.0,1346.0,,3204.0,-0.0030456369905090246,3.0,20.0,1.0,12.0,,"[2.0, 1.0, 2.0, 1.0]",blue
0.0,1346.0,,2519.0,-0.0004734301543268121,4.0,29.0,1.0,12.0,,"[2.0, 1.0, 2.0, 1.0, 1.0]",techno
0.0,1346.0,,2419.0,-0.0039794809960834,5.0,5.0,1.0,12.0,,"[2.0, 1.0, 2.0, -2.0, 1.0, 1.0]",pop
0.0,1346.0,,2339.0,0.0038886321808387237,6.0,1.0,1.0,12.0,,"[2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0]",rock
0.0,1346.0,,1702.0,0.01284385200810051,7.0,27.0,1.0,12.0,,"[2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0]",funk
0.0,1346.0,,1964.0,0.012530966595526973,8.0,3.0,1.0,12.0,,"[2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0]",metal
0.0,1346.0,,1897.0,0.008006346864337686,9.0,4.0,1.0,12.0,,"[2.0, 1.0, 2.0, -2.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0]",chorus
0.0,1346.0,,1950.0,0.008723553214805998,10.0,12.0,1.0,12.0,,"[2.0, 1.0, 2.0, -2.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0]",rap
0.0,1346.0,,2064.0,0.0088811186488741,11.0,18.0,1.0,12.0,,"[2.0, 1.0, 2.0, -2.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0]",dance
